group,metric,n_models,n_subjects,mean,sem,ci_low,ci_high
Cntnap_neg,diagonal_dominance,169,57,2.0512032979919637,0.03628369658431531,1.9750612365067386,2.1150396907328965
Cntnap_neg,fore_hind_coupling,169,57,0.4639825138827272,0.008430834997815278,0.449328696554731,0.4818851454209364
Cntnap_neg,left_right_coupling,169,57,0.41350524873484573,0.007993435735507905,0.4005199337423344,0.4308615773346589
Cntnap_neg,cross_gain,169,57,0.4294467188932781,0.007885787255687064,0.4161645170560358,0.4471549428757651
Cntnap_het,diagonal_dominance,216,72,1.9597666847436488,0.03237548270787751,1.8999792566715858,2.023234117994393
Cntnap_het,fore_hind_coupling,216,72,0.4840850112841597,0.008393047781232415,0.4680083800246753,0.5011484549901936
Cntnap_het,left_right_coupling,216,72,0.43037433438061445,0.007541105392545504,0.4153588875435422,0.4454493931658419
Cntnap_het,cross_gain,216,72,0.4492662244335958,0.007670722376619545,0.4344895441746902,0.464455969455755
Cntnap_hom,diagonal_dominance,111,37,2.1902306056146448,0.052737130596471074,2.0944263713936717,2.2971161648538425
Cntnap_hom,fore_hind_coupling,111,37,0.42431452175511036,0.010068631495483387,0.4042740061524359,0.4433906706120382
Cntnap_hom,left_right_coupling,111,37,0.3917803008376508,0.009266575993860203,0.3746863943421911,0.40993834925644423
Cntnap_hom,cross_gain,111,37,0.40366876391549084,0.009371926452675101,0.3859036094529118,0.4217802664341467
TSC_neg,diagonal_dominance,195,65,1.6945379782098768,0.03490277154930368,1.623047070196329,1.7620532915836686
TSC_neg,fore_hind_coupling,195,65,0.5486871543456541,0.010444623761680533,0.5286130636484402,0.5691492943218479
TSC_neg,left_right_coupling,195,65,0.48065297851108246,0.009997586074627977,0.4623104364990224,0.5008131886514008
TSC_neg,cross_gain,195,65,0.509665789276196,0.009947803832970645,0.49144762715921314,0.5297468562168838
TSC_het,diagonal_dominance,189,63,1.653003853729647,0.03452165901660126,1.5872829271112021,1.7215454725290262
TSC_het,fore_hind_coupling,189,63,0.5569963412128609,0.010144890282342273,0.5386935991802785,0.5778048094259314
TSC_het,left_right_coupling,189,63,0.4888985030896513,0.010061356246762737,0.4704264083195445,0.5090369243401471
TSC_het,cross_gain,189,63,0.5176627010810987,0.009796600733120714,0.4995252130502885,0.5376082244660478
TSC_hom,diagonal_dominance,105,35,1.6267005361911544,0.03435549884830044,1.562411586766844,1.69480199640039
TSC_hom,fore_hind_coupling,105,35,0.5852793075280605,0.013492507404922999,0.5566747803801518,0.6116757371716166
TSC_hom,left_right_coupling,105,35,0.4874405284139746,0.01242546078695996,0.4617486742684283,0.5107610198314607
TSC_hom,cross_gain,105,35,0.5302214984007896,0.012444082171363696,0.5036930715034936,0.5542788766728519
