group,subject,speed_bin,model_index,peak_log_gain,peak_frequency,peak_stride_multiple,mean_log_gain,band_0p75_2x_log_gain
Cntnap_het,OFT-0366-00,slow,1,2.1361752034014088,3.9325842696629216,1.3174157303370786,1.6122621303493834,1.8618095457026373
Cntnap_het,OFT-0366-00,fast,2,2.132177621844181,5.6965714363397835,1.6376404494382022,1.555219950605547,1.7410900635195963
Cntnap_het,OFT-0366-00,medium,3,2.1536639697204985,4.763411932267764,1.6910112359550562,1.5845428059093418,1.745757470987604
Cntnap_het,OFT-0371-00,fast,4,2.1135387043286293,5.194326763676552,1.5842696629213484,1.5942373217340737,1.8110115469323038
Cntnap_het,OFT-0371-00,medium,5,2.1566269894670174,3.8747521480502316,1.3174157303370786,1.6216632382265932,1.8625756492303485
Cntnap_het,OFT-0371-00,slow,6,2.1184654043694278,3.160112359550562,1.2640449438202248,1.717074447211834,1.9421225004312381
Cntnap_het,OFT-0376-00,fast,7,2.1852155247050007,5.830310537025569,1.851123595505618,1.6173493347318497,1.8279156282623419
Cntnap_het,OFT-0376-00,slow,8,2.3929433743833832,3.5603932584269664,1.4241573033707866,1.7234809651917837,1.947651624605283
Cntnap_het,OFT-0376-00,medium,9,2.3269407149207773,4.283179859761764,1.4241573033707866,1.6270249421230207,1.8183769695437095
Cntnap_het,OFT-0385-00,medium,10,2.5075003040253185,4.153898535921008,1.3707865168539326,1.6551125327823872,1.8407864775667755
Cntnap_het,OFT-0385-00,fast,11,2.1258635490418216,4.809777252119061,1.3707865168539326,1.5508511926390813,1.7781277070422734
Cntnap_het,OFT-0385-00,slow,12,2.2332394857511306,3.6516853932584277,1.4241573033707866,1.6635399737247463,1.9286930379635994
Cntnap_het,OFT-0391-00,slow,13,2.033129773279923,5.36732929991357,1.7443820224719102,1.5901373992148327,1.8507331908267177
Cntnap_het,OFT-0391-00,fast,14,2.1990273606525457,5.682800345721694,1.4775280898876404,1.5602614312622765,1.7582393099578153
Cntnap_het,OFT-0391-00,medium,15,2.1240028418604178,5.544299134278873,1.6910112359550562,1.5610903476180984,1.7987721884990475
Cntnap_het,OFT-0403-00,medium,16,2.092662171671658,5.138322013331863,1.5842696629213484,1.5604206531208165,1.7360622061492477
Cntnap_het,OFT-0403-00,fast,17,2.236742139421689,5.7942278034809425,1.4775280898876404,1.5137393462216662,1.7065736957343554
Cntnap_het,OFT-0403-00,slow,18,2.089734178506182,5.282711127220007,1.6376404494382022,1.6093194712635113,1.815288490320494
Cntnap_het,OFT-0407-00,fast,19,2.2226493490545502,5.306491261547441,1.3707865168539326,1.5681518010508217,1.7905298775897531
