group,speed_bin,coordinate,forcing_mean,n_models
Cntnap_het,slow,LFx-body,108.91365395706165,72
Cntnap_het,slow,LFy-body,61.82819968626174,72
Cntnap_het,slow,RFx-body,108.9136539570617,72
Cntnap_het,slow,RFy-body,61.82819968626173,72
Cntnap_het,slow,RHx-body,100.50358036953955,72
Cntnap_het,slow,RHy-body,42.45068184935302,72
Cntnap_het,slow,LHx-body,100.50358036953963,72
Cntnap_het,slow,LHy-body,42.45068184935304,72
Cntnap_het,fast,LFx-body,71.55358050355143,72
Cntnap_het,fast,LFy-body,32.99739302415515,72
Cntnap_het,fast,RFx-body,71.55358050355144,72
Cntnap_het,fast,RFy-body,32.997393024155144,72
Cntnap_het,fast,RHx-body,68.07508435699914,72
Cntnap_het,fast,RHy-body,24.520732100166327,72
Cntnap_het,fast,LHx-body,68.07508435699913,72
Cntnap_het,fast,LHy-body,24.520732100166335,72
Cntnap_het,medium,LFx-body,76.5758989465745,72
Cntnap_het,medium,LFy-body,42.738149406078925,72
Cntnap_het,medium,RFx-body,76.57589894657447,72
Cntnap_het,medium,RFy-body,42.73814940607893,72
Cntnap_het,medium,RHx-body,72.27565319122401,72
Cntnap_het,medium,RHy-body,31.484299909070014,72
Cntnap_het,medium,LHx-body,72.27565319122405,72
Cntnap_het,medium,LHy-body,31.48429990907002,72
Cntnap_hom,fast,LFx-body,59.228889154428934,37
Cntnap_hom,fast,LFy-body,28.646181942441704,37
Cntnap_hom,fast,RFx-body,59.22888915442891,37
Cntnap_hom,fast,RFy-body,28.646181942441697,37
Cntnap_hom,fast,RHx-body,58.42489920561318,37
Cntnap_hom,fast,RHy-body,20.42961320111998,37
Cntnap_hom,fast,LHx-body,58.42489920561319,37
Cntnap_hom,fast,LHy-body,20.42961320111998,37
Cntnap_hom,medium,LFx-body,59.832098070298024,37
Cntnap_hom,medium,LFy-body,34.74291128187852,37
Cntnap_hom,medium,RFx-body,59.832098070298024,37
Cntnap_hom,medium,RFy-body,34.742911281878506,37
Cntnap_hom,medium,RHx-body,53.86961367860897,37
Cntnap_hom,medium,RHy-body,26.04922358203596,37
Cntnap_hom,medium,LHx-body,53.86961367860895,37
Cntnap_hom,medium,LHy-body,26.049223582035953,37
Cntnap_hom,slow,LFx-body,71.7391618908891,37
Cntnap_hom,slow,LFy-body,46.304140499187575,37
