group,speed_bin,coordinate,forcing_mean,n_models
Cntnap_het,slow,LF AP,30974.458236516468,72
Cntnap_het,slow,RF AP,30974.458236516446,72
Cntnap_het,slow,RH AP,37875.169814350695,72
Cntnap_het,slow,LH AP,37875.16981435077,72
Cntnap_het,medium,LF AP,120998.5763889043,72
Cntnap_het,medium,RF AP,120998.5763889043,72
Cntnap_het,medium,RH AP,108498.176627068,72
Cntnap_het,medium,LH AP,108498.17662706833,72
Cntnap_het,fast,LF AP,69016.1681929546,72
Cntnap_het,fast,RF AP,69016.1681929546,72
Cntnap_het,fast,RH AP,85548.29656283435,72
Cntnap_het,fast,LH AP,85548.29656283431,72
Cntnap_hom,fast,LF AP,54081.3040218235,37
Cntnap_hom,fast,RF AP,54081.304021823475,37
Cntnap_hom,fast,RH AP,78160.9406611582,37
Cntnap_hom,fast,LH AP,78160.94066115793,37
Cntnap_hom,medium,LF AP,108531.90271183012,37
Cntnap_hom,medium,RF AP,108531.90271183013,37
Cntnap_hom,medium,RH AP,112717.11637575833,37
Cntnap_hom,medium,LH AP,112717.1163757579,37
Cntnap_hom,slow,LF AP,44099.85067744489,37
Cntnap_hom,slow,RF AP,44099.850677444934,37
Cntnap_hom,slow,RH AP,51361.919911802,37
Cntnap_hom,slow,LH AP,51361.919911802026,37
Cntnap_neg,medium,LF AP,96136.88974690484,56
Cntnap_neg,medium,RF AP,96136.88974690459,56
Cntnap_neg,medium,RH AP,117435.36370975092,56
Cntnap_neg,medium,LH AP,117435.36370975092,56
Cntnap_neg,fast,LF AP,58118.352603751046,57
Cntnap_neg,fast,RF AP,58118.35260375104,57
Cntnap_neg,fast,RH AP,76767.44112035818,57
Cntnap_neg,fast,LH AP,76767.44112035815,57
Cntnap_neg,slow,LF AP,26840.699141988887,56
Cntnap_neg,slow,RF AP,26840.699141988902,56
Cntnap_neg,slow,RH AP,30561.52399749626,56
Cntnap_neg,slow,LH AP,30561.523997496242,56
TSC_het,slow,LF AP,55199.33686754878,61
TSC_het,slow,RF AP,55199.33686754883,61
TSC_het,slow,RH AP,44798.765301413216,61
TSC_het,slow,LH AP,44798.765301413165,61
TSC_het,fast,LF AP,50262.447080973405,62
TSC_het,fast,RF AP,50262.44708097335,62
TSC_het,fast,RH AP,57728.236030951426,62
TSC_het,fast,LH AP,57728.23603095143,62
TSC_het,medium,LF AP,44098.499927954785,62
TSC_het,medium,RF AP,44098.49992795478,62
TSC_het,medium,RH AP,46890.955971858886,62
TSC_het,medium,LH AP,46890.9559718589,62
TSC_hom,medium,LF AP,19927.400468422882,35
TSC_hom,medium,RF AP,19927.400468422897,35
TSC_hom,medium,RH AP,26682.14701803911,35
TSC_hom,medium,LH AP,26682.14701803918,35
TSC_hom,fast,LF AP,105972.38511845005,35
TSC_hom,fast,RF AP,105972.38511845024,35
TSC_hom,fast,RH AP,158745.48327177812,35
TSC_hom,fast,LH AP,158745.48327177844,35
TSC_hom,slow,LF AP,23363.025988684632,35
TSC_hom,slow,RF AP,23363.025988684585,35
TSC_hom,slow,RH AP,26262.395759804425,35
TSC_hom,slow,LH AP,26262.395759804465,35
TSC_neg,fast,LF AP,48605.03993256288,65
TSC_neg,fast,RF AP,48605.0399325629,65
TSC_neg,fast,RH AP,51267.44232721171,65
TSC_neg,fast,LH AP,51267.442327211764,65
TSC_neg,slow,LF AP,23766.55368525696,64
TSC_neg,slow,RF AP,23766.553685256964,64
TSC_neg,slow,RH AP,27752.86625526729,64
TSC_neg,slow,LH AP,27752.86625526734,64
TSC_neg,medium,LF AP,135008.4033305114,64
TSC_neg,medium,RF AP,135008.4033305111,64
TSC_neg,medium,RH AP,140761.21475597375,64
TSC_neg,medium,LH AP,140761.21475597442,64
new_preds,fast,LF AP,551486.8198895052,374
new_preds,fast,RF AP,551486.819889504,374
new_preds,fast,RH AP,605797.7848783358,374
new_preds,fast,LH AP,605797.7848783365,374
new_preds,medium,LF AP,58022.65279431063,374
new_preds,medium,RF AP,58022.65279431064,374
new_preds,medium,RH AP,68288.8538182291,374
new_preds,medium,LH AP,68288.8538182291,374
new_preds,slow,LF AP,102886.2561748962,373
new_preds,slow,RF AP,102886.25617489626,373
new_preds,slow,RH AP,114892.64534304033,373
new_preds,slow,LH AP,114892.64534304048,373
