group,subject,speed_bin,model_index,peak_log_gain,peak_frequency,peak_stride_multiple,mean_log_gain,band_0p75_2x_log_gain
Cntnap_het,OFT-0366-00,slow,1,4.6017086120909,0.9971910112359551,0.9971910112359551,2.6519743554440542,3.249859525003239
Cntnap_het,OFT-0366-00,medium,2,4.533885823328182,0.9971910112359551,0.9971910112359551,2.5408298016960624,3.116208094816948
Cntnap_het,OFT-0366-00,fast,3,4.705266181968292,0.9971910112359551,0.9971910112359551,2.551815212716219,3.206970461245537
Cntnap_het,OFT-0371-00,fast,4,4.728138337027015,0.9971910112359551,0.9971910112359551,2.584662888144926,3.1649566632661568
Cntnap_het,OFT-0371-00,medium,5,4.507310193188207,0.9971910112359551,0.9971910112359551,2.736810158750335,3.389301840016325
Cntnap_het,OFT-0371-00,slow,6,5.6688562599485985,0.9971910112359551,0.9971910112359551,2.9032885228645617,3.4691843088762813
Cntnap_het,OFT-0376-00,fast,7,4.933915276595002,0.9971910112359551,0.9971910112359551,2.603814953458334,3.278772521572119
Cntnap_het,OFT-0376-00,slow,8,4.367238909908693,0.9971910112359551,0.9971910112359551,2.6906999415814035,3.14778265758667
Cntnap_het,OFT-0376-00,medium,9,4.5819194089004815,0.9971910112359551,0.9971910112359551,2.597539322005933,3.1945133873725524
Cntnap_het,OFT-0385-00,medium,10,4.790459527439966,0.9971910112359551,0.9971910112359551,2.690355546484,3.295828441663992
Cntnap_het,OFT-0385-00,fast,11,4.983417365163826,0.9971910112359551,0.9971910112359551,2.5429484259404376,3.126600213405109
Cntnap_het,OFT-0385-00,slow,12,5.1643976580162185,0.9971910112359551,0.9971910112359551,2.5694598181880806,3.1192865621782175
Cntnap_het,OFT-0391-00,slow,13,5.944280065353924,0.9971910112359551,0.9971910112359551,2.6841962533502715,3.3371376693586985
Cntnap_het,OFT-0391-00,fast,14,4.771451704642023,0.9971910112359551,0.9971910112359551,2.5084603756648747,3.1505195542606295
Cntnap_het,OFT-0391-00,medium,15,4.832403422388285,0.9971910112359551,0.9971910112359551,2.6022256336258103,3.289918765998779
