group,speed_bin,coordinate,forcing_mean,n_models
Cntnap_het,slow,LF AP,5704.7437648831465,72
Cntnap_het,slow,RF AP,5704.743764883134,72
Cntnap_het,slow,RH AP,6540.075081034902,72
Cntnap_het,slow,LH AP,6540.0750810348945,72
Cntnap_het,medium,LF AP,10457.547037661927,72
Cntnap_het,medium,RF AP,10457.547037661941,72
Cntnap_het,medium,RH AP,11208.452511476771,72
Cntnap_het,medium,LH AP,11208.452511476775,72
Cntnap_het,fast,LF AP,11883.145858063841,72
Cntnap_het,fast,RF AP,11883.14585806387,72
Cntnap_het,fast,RH AP,11837.553867221317,72
Cntnap_het,fast,LH AP,11837.553867221339,72
Cntnap_hom,fast,LF AP,12437.874100186233,37
Cntnap_hom,fast,RF AP,12437.87410018625,37
Cntnap_hom,fast,RH AP,10834.527896790509,37
Cntnap_hom,fast,LH AP,10834.527896790474,37
Cntnap_hom,medium,LF AP,9016.500511360207,37
Cntnap_hom,medium,RF AP,9016.500511360195,37
Cntnap_hom,medium,RH AP,9370.242447070428,37
Cntnap_hom,medium,LH AP,9370.242447070485,37
Cntnap_hom,slow,LF AP,4643.653141421288,37
Cntnap_hom,slow,RF AP,4643.653141421266,37
Cntnap_hom,slow,RH AP,5023.119563417945,37
Cntnap_hom,slow,LH AP,5023.119563417942,37
Cntnap_neg,medium,LF AP,9130.943728050512,56
Cntnap_neg,medium,RF AP,9130.943728050546,56
Cntnap_neg,medium,RH AP,8976.98003356807,56
Cntnap_neg,medium,LH AP,8976.980033568067,56
Cntnap_neg,fast,LF AP,11515.735684953757,57
Cntnap_neg,fast,RF AP,11515.735684953754,57
Cntnap_neg,fast,RH AP,12611.504995210966,57
Cntnap_neg,fast,LH AP,12611.504995210931,57
Cntnap_neg,slow,LF AP,4498.125619290365,56
Cntnap_neg,slow,RF AP,4498.125619290366,56
Cntnap_neg,slow,RH AP,4623.18162014259,56
Cntnap_neg,slow,LH AP,4623.1816201426,56
TSC_het,slow,LF AP,6266.438524475209,62
TSC_het,slow,RF AP,6266.438524475203,62
TSC_het,slow,RH AP,6031.202299084222,62
TSC_het,slow,LH AP,6031.202299084227,62
TSC_het,fast,LF AP,63488.40500193866,62
TSC_het,fast,RF AP,63488.405001938445,62
TSC_het,fast,RH AP,55695.634097605966,62
TSC_het,fast,LH AP,55695.63409760571,62
TSC_het,medium,LF AP,25138.316720729195,62
TSC_het,medium,RF AP,25138.316720729177,62
TSC_het,medium,RH AP,25778.797855287063,62
TSC_het,medium,LH AP,25778.79785528719,62
TSC_hom,medium,LF AP,6803.51485991038,35
TSC_hom,medium,RF AP,6803.514859910381,35
TSC_hom,medium,RH AP,9043.215237433993,35
TSC_hom,medium,LH AP,9043.215237433993,35
TSC_hom,fast,LF AP,10534.19679928257,35
TSC_hom,fast,RF AP,10534.196799282618,35
TSC_hom,fast,RH AP,13533.28928689728,35
TSC_hom,fast,LH AP,13533.289286897323,35
TSC_hom,slow,LF AP,3665.324561844408,35
TSC_hom,slow,RF AP,3665.324561844404,35
TSC_hom,slow,RH AP,4449.9059460397975,35
TSC_hom,slow,LH AP,4449.90594603979,35
TSC_neg,fast,LF AP,18777.13751977311,65
TSC_neg,fast,RF AP,18777.13751977315,65
TSC_neg,fast,RH AP,19067.73536313173,65
TSC_neg,fast,LH AP,19067.73536313174,65
TSC_neg,slow,LF AP,5910.2642797273675,65
TSC_neg,slow,RF AP,5910.264279727373,65
TSC_neg,slow,RH AP,6371.924872653112,65
TSC_neg,slow,LH AP,6371.924872653118,65
TSC_neg,medium,LF AP,12807.561457940363,65
TSC_neg,medium,RF AP,12807.561457940363,65
TSC_neg,medium,RH AP,15194.634531902951,65
TSC_neg,medium,LH AP,15194.634531902895,65
new_preds,fast,LF AP,16752.045026110583,374
new_preds,fast,RF AP,16752.045026110576,374
new_preds,fast,RH AP,17315.02863995385,374
new_preds,fast,LH AP,17315.02863995386,374
new_preds,medium,LF AP,13348.036314537592,374
new_preds,medium,RF AP,13348.03631453758,374
new_preds,medium,RH AP,14409.150719182984,374
new_preds,medium,LH AP,14409.150719182982,374
new_preds,slow,LF AP,6659.565255705367,374
new_preds,slow,RF AP,6659.565255705369,374
new_preds,slow,RH AP,7128.3278047960375,374
new_preds,slow,LH AP,7128.327804796036,374
