group,metric,n_models,n_subjects,mean,sem,ci_low,ci_high
Cntnap_neg,diagonal_dominance,169,57,1.003193940052251,0.0014626626601142501,1.0004223538368102,1.005987513869575
Cntnap_neg,fore_hind_coupling,169,57,0.8738726333003751,0.00931929879547193,0.854896927439757,0.891305294015926
Cntnap_neg,left_right_coupling,169,57,0.8759690265539477,0.009363467672309762,0.856954824593374,0.893978599195178
Cntnap_neg,cross_gain,169,57,0.875270228802757,0.009338698237842993,0.8561553035327365,0.8931333243508133
Cntnap_neg,angle_angle_coupling,169,57,0.8780654198075208,0.009497015946299314,0.8587843093082399,0.8960982511946013
Cntnap_neg,radius_radius_coupling,169,57,NaN,NaN,NaN,NaN
Cntnap_neg,radius_to_angle_coupling,169,57,0.875270228802757,0.009338698237842993,0.8561553035327365,0.8931333243508133
Cntnap_neg,angle_to_radius_coupling,169,57,NaN,NaN,NaN,NaN
Cntnap_neg,angle_radius_cross_coupling,169,57,0.875270228802757,0.009338698237842993,0.8561553035327365,0.8931333243508133
Cntnap_neg,angle_selectivity,169,57,1.003193940052251,0.0014626626601142501,1.0004223538368102,1.005987513869575
Cntnap_het,diagonal_dominance,216,72,1.003619901320471,0.0014805315215380866,1.0009487882721817,1.0066431664282856
Cntnap_het,fore_hind_coupling,216,72,0.8856368583052471,0.008243242288375908,0.8691658796442882,0.9009866161025957
Cntnap_het,left_right_coupling,216,72,0.887886355990682,0.0080419196351818,0.8718834054499751,0.90280962692681
Cntnap_het,cross_gain,216,72,0.8871365234288704,0.008098009298373456,0.8713160167170121,0.9023430062130783
Cntnap_het,angle_angle_coupling,216,72,0.890135853676117,0.007942421975105165,0.874224077113953,0.9049355357636925
Cntnap_het,radius_radius_coupling,216,72,NaN,NaN,NaN,NaN
Cntnap_het,radius_to_angle_coupling,216,72,0.8871365234288704,0.008098009298373456,0.8713160167170121,0.9023430062130783
Cntnap_het,angle_to_radius_coupling,216,72,NaN,NaN,NaN,NaN
Cntnap_het,angle_radius_cross_coupling,216,72,0.8871365234288704,0.008098009298373456,0.8713160167170121,0.9023430062130783
Cntnap_het,angle_selectivity,216,72,1.003619901320471,0.0014805315215380866,1.0009487882721817,1.0066431664282856
Cntnap_hom,diagonal_dominance,111,37,1.0071884408192147,0.001970285034228918,1.003437579582984,1.010866143476591
Cntnap_hom,fore_hind_coupling,111,37,0.8791244078724874,0.011945055031427234,0.8567268110908436,0.9023042609258886
Cntnap_hom,left_right_coupling,111,37,0.8837147493913124,0.01163986635343855,0.8616889680870987,0.9058394606761592
Cntnap_hom,cross_gain,111,37,0.8821846355517042,0.011728368166270872,0.8602580495399028,0.9046368014882571
Cntnap_hom,angle_angle_coupling,111,37,0.8883050909101377,0.011457268898938097,0.8660214021492153,0.9102077518166646
Cntnap_hom,radius_radius_coupling,111,37,NaN,NaN,NaN,NaN
Cntnap_hom,radius_to_angle_coupling,111,37,0.8821846355517042,0.011728368166270872,0.8602580495399028,0.9046368014882571
Cntnap_hom,angle_to_radius_coupling,111,37,NaN,NaN,NaN,NaN
Cntnap_hom,angle_radius_cross_coupling,111,37,0.8821846355517042,0.011728368166270872,0.8602580495399028,0.9046368014882571
Cntnap_hom,angle_selectivity,111,37,1.0071884408192147,0.001970285034228918,1.003437579582984,1.010866143476591
TSC_neg,diagonal_dominance,195,65,1.0018697501479692,0.0014299728916081168,0.9991059068484143,1.004555396955757
TSC_neg,fore_hind_coupling,195,65,0.891239009723184,0.009163179043379538,0.8724295629063906,0.9086545204546146
TSC_neg,left_right_coupling,195,65,0.8924219172465985,0.009056938827955533,0.8735751089290408,0.9096046315606751
