group,speed_bin,metric,n_models,n_subjects,mean,sem
Cntnap_het,slow,same_mean_gain,72,72,0.17068002586281616,0.0023764574883447724
Cntnap_het,slow,same_peak_gain,72,72,0.8971614992165003,0.006943554558516356
Cntnap_het,slow,same_peak_lag_fraction,72,72,-0.25,0.0
Cntnap_het,slow,same_phase_selectivity,72,72,0.6744183599155451,0.007150862285691126
Cntnap_het,slow,fore_homologs_mean_gain,72,72,0.15310768517251377,0.0038109150621241294
Cntnap_het,slow,fore_homologs_peak_gain,72,72,0.8650116515154427,0.014699351974450438
Cntnap_het,slow,fore_homologs_peak_lag_fraction,72,72,-0.25,0.0
Cntnap_het,slow,fore_homologs_phase_selectivity,72,72,0.7118441126338166,0.008131821698259835
Cntnap_het,slow,hind_homologs_mean_gain,72,72,0.18825236655311864,0.0035673819897987535
Cntnap_het,slow,hind_homologs_peak_gain,72,72,0.9293113469175578,0.012628452187008447
Cntnap_het,slow,hind_homologs_peak_lag_fraction,72,72,-0.25,0.0
Cntnap_het,slow,hind_homologs_phase_selectivity,72,72,0.6555268207765802,0.008118636978806413
Cntnap_het,slow,ipsilateral_mean_gain,72,72,0.169324646057528,0.0024665729409674027
Cntnap_het,slow,ipsilateral_peak_gain,72,72,0.892144254046437,0.007819362654947934
Cntnap_het,slow,ipsilateral_peak_lag_fraction,72,72,-0.25,0.0
Cntnap_het,slow,ipsilateral_phase_selectivity,72,72,0.6747727298163784,0.007094203402908944
Cntnap_het,slow,diagonal_mean_gain,72,72,0.169324646057528,0.002466572940967403
Cntnap_het,slow,diagonal_peak_gain,72,72,0.892144254046437,0.00781936265494793
Cntnap_het,slow,diagonal_peak_lag_fraction,72,72,-0.25,0.0
Cntnap_het,slow,diagonal_phase_selectivity,72,72,0.6747727298163784,0.007094203402908943
Cntnap_het,slow,all_cross_mean_gain,72,72,0.1697764393259574,0.002428687786064856
Cntnap_het,slow,all_cross_peak_gain,72,72,0.8938166691031247,0.00743757174196886
Cntnap_het,slow,all_cross_peak_lag_fraction,72,72,-0.25,0.0
Cntnap_het,slow,all_cross_phase_selectivity,72,72,0.674645219086764,0.007111351009529249
Cntnap_het,slow,self_to_cross_ratio,72,72,1.0059097965293917,0.0019570076999744085
Cntnap_het,medium,same_mean_gain,72,72,0.17121850762064755,0.002217315985235687
Cntnap_het,medium,same_peak_gain,72,72,0.8874685865922327,0.008963400458878295
Cntnap_het,medium,same_peak_lag_fraction,72,72,-0.25,0.0
Cntnap_het,medium,same_phase_selectivity,72,72,0.687947484012932,0.007278867530293249
Cntnap_het,medium,fore_homologs_mean_gain,72,72,0.16320996557703057,0.0038757739853190246
Cntnap_het,medium,fore_homologs_peak_gain,72,72,0.8774225238269202,0.017478845431013135
Cntnap_het,medium,fore_homologs_peak_lag_fraction,72,72,-0.24958333333333332,0.00041666666666666675
Cntnap_het,medium,fore_homologs_phase_selectivity,72,72,0.705765905735483,0.00781394710831135
Cntnap_het,medium,hind_homologs_mean_gain,72,72,0.17922704966426456,0.003723868204064239
Cntnap_het,medium,hind_homologs_peak_gain,72,72,0.897927245668598,0.015263723444484586
Cntnap_het,medium,hind_homologs_peak_lag_fraction,72,72,-0.25,0.0
Cntnap_het,medium,hind_homologs_phase_selectivity,72,72,0.679243110864402,0.007930975858743389
Cntnap_het,medium,ipsilateral_mean_gain,72,72,0.1701405044390057,0.002288921130002475
Cntnap_het,medium,ipsilateral_peak_gain,72,72,0.8813519037812577,0.008978246455031482
Cntnap_het,medium,ipsilateral_peak_lag_fraction,72,72,-0.25,0.0
Cntnap_het,medium,ipsilateral_phase_selectivity,72,72,0.6880693260588768,0.007236391508373148
Cntnap_het,medium,diagonal_mean_gain,72,72,0.17014050443900572,0.002288921130002475
Cntnap_het,medium,diagonal_peak_gain,72,72,0.8813519037812577,0.008978246455031482
