group,speed_bin,n_models,n_subjects,n_bouts,mean_speed_mean,mean_speed_sem,mean_speed_median,henrici_mean,henrici_sem,henrici_median,log_tgmax_mean,log_tgmax_sem,log_tgmax_median,participation_ratio_mean,participation_ratio_sem,participation_ratio_median,rank_mean,rank_sem,rank_median,stride_frequency_mean,stride_frequency_sem,stride_frequency_median,resolvent_peak_gain_mean,resolvent_peak_gain_sem,resolvent_peak_gain_median,qfactor_median_mean,qfactor_median_sem,qfactor_median_median,harmonic_entropy_mean,harmonic_entropy_sem,harmonic_entropy_median,h1_concentration_mean,h1_concentration_sem,h1_concentration_median,spectral_decay_rate_mean,spectral_decay_rate_sem,spectral_decay_rate_median,io_gain_max_mean,io_gain_max_sem,io_gain_max_median
Cntnap_het,slow,72,72,4932,3.7062401819366784,0.031055756517992934,3.7028588915023857,0.7067732560215481,0.005453170226224137,0.7120696740363912,1.5798704937787404,0.012760380930223074,1.601950146496839,1.8632227031835613,0.01230706188722784,1.8505358374552245,40.0,0.0,40.0,1.0,0.0,1.0,24624.797962596538,1888.6292507887017,21126.960731512838,0.8583145462052871,0.0015527145554053506,0.8596180971825869,0.18667517709400666,0.00816042446001926,0.1824696247860963,190.26010552796004,14.656215188501017,159.06539949288958,-1.3628471866887206,0.01420043639187215,-1.3654839553142968,6838.416425609438,508.1115257284056,6035.544721387432
Cntnap_het,medium,72,72,4902,4.720691685890426,0.05004363668412619,4.7680042047750915,0.7160050467307592,0.004192224619375077,0.7214863357340018,1.5910101208433134,0.013455864952840669,1.60546209310802,1.7698535089017258,0.008407325889093301,1.7556746027590435,40.0,0.0,40.0,1.0,0.0,1.0,43661.38142332755,4101.460205145716,36149.1022829498,0.8569519558946552,0.001533830668293765,0.8582539912549534,0.1124760676290073,0.005130808604604031,0.10371765783223741,365.1301655731584,24.638970707847513,338.1141739223384,-1.4912751600007577,0.012973488742297421,-1.4978414076770339,12265.97673976246,1181.9542166419885,10376.55504815092
Cntnap_het,fast,72,72,4949,6.019085751570264,0.06563431308525498,6.015939077710363,0.7070837475731555,0.005241581269742216,0.7135242891490393,1.5815361403436814,0.010949280333667408,1.590951109855813,1.7071899874701881,0.006786368021149864,1.6983662503969512,40.0,0.0,40.0,1.0,0.0,1.0,47772.30693110454,2895.6898362181514,43579.153796114944,0.8572026088617792,0.0015416735081318627,0.8566915943516127,0.09103010837275956,0.0037700248305506893,0.08420687830176167,456.56499495596796,24.188400366229498,422.86434658674784,-1.5369275021071611,0.012777749105810934,-1.54559451181396,13303.506445374825,783.8238924884259,12159.077267046443
Cntnap_hom,fast,37,37,2652,6.2582166631915825,0.09401767252849208,6.121322470722228,0.713513911975701,0.008175451561990862,0.7077715968734223,1.5429939999369837,0.019609747273690286,1.5416146785878364,1.7534465198244609,0.008252115040764197,1.7456750155827845,40.0,0.0,40.0,1.0,0.0,1.0,47082.43420158224,10935.299227575999,30409.59809971267,0.8569329040361952,0.002740867474660241,0.8587146115658144,0.09823982120575721,0.005710986651508413,0.09988444316389668,452.27441739378725,56.89329751356421,385.7413207195209,-1.524703308002541,0.021192947770050787,-1.5101470344767909,13470.58391900913,3302.9223869883704,7940.6765671442545
Cntnap_hom,medium,37,37,2624,4.90351064087996,0.07497998734798833,4.7789344227474295,0.7078676801853906,0.007817544582478308,0.7132688755492431,1.56401453934432,0.018623590389133537,1.5617789274420923,1.8465424894173657,0.014224443691361758,1.8359905739458324,40.0,0.0,40.0,1.0,0.0,1.0,37163.362733168135,4352.795101294811,29032.5536396243,0.858516780496802,0.0016441623422988325,0.8599838753023399,0.11956783721628539,0.007284600183858542,0.1132358587093084,342.9222784142509,28.004194877947743,328.2300769701186,-1.4836447456273913,0.019692748258693972,-1.495580520537862,10560.012168354366,1227.5637134763303,8199.486888574524
Cntnap_hom,slow,37,37,2637,3.819814823441014,0.04941975529810015,3.768703701922131,0.7087118354534094,0.006296557693000212,0.7141060496161656,1.5519282976519166,0.022024464754719145,1.5380408035450113,1.9656158037593505,0.014090837020045037,1.9574583926657914,40.0,0.0,40.0,1.0,0.0,1.0,19365.59008726011,2061.4910766653234,15265.788377395214,0.8551374720137561,0.0027426289505132263,0.8573725104938815,0.20274281954580944,0.010636870288961802,0.19378181649130952,164.47403874215462,13.2378511374022,145.3971791948441,-1.3378441736910927,0.017963530670206278,-1.314004517094259,5359.98848182603,535.4518866013036,4276.99713053699
Cntnap_neg,medium,56,56,4492,4.789450955285398,0.04412390693456328,4.811736821309761,0.7130440350684321,0.00534489623334948,0.718645866264155,1.562071825981946,0.014337893522454471,1.5749783003442284,1.764332634014929,0.013367379569620492,1.7440042743234683,40.0,0.0,40.0,1.0,0.0,1.0,36562.45686138026,2517.5593868257383,32870.269205987744,0.8571306150716068,0.0018100176654013789,0.8559296618930832,0.11142459092112086,0.004646364509430984,0.1143461308516304,352.7739833576989,21.51558109748761,288.3760900823479,-1.4894188927812795,0.01356412158673109,-1.4591979752179944,10297.804798900135,735.6523542128162,9058.845119624983
Cntnap_neg,fast,57,57,4540,6.036914009285912,0.06326143552869234,6.094438381139532,0.7094106481127332,0.005232715052944785,0.7078080573872317,1.581198197871254,0.01245320391794198,1.5766902187425247,1.6786650419649134,0.005933606029470232,1.6765204640675127,40.0,0.0,40.0,1.0,0.0,1.0,48798.98822049074,3916.6368716885495,41065.92248541619,0.856098674574997,0.0014142987387992982,0.8588759461055395,0.08515801780781433,0.003005555638237838,0.08464100147150148,478.64817086436034,25.654257643017104,434.6786381758157,-1.5476367924328922,0.01139977407191754,-1.542963457385151,13961.977738562504,1228.1730121355654,11384.268240553378
Cntnap_neg,slow,56,56,4514,3.788762538046995,0.028617177893459952,3.775789555296761,0.7059071904856431,0.006201000202644909,0.713346612378218,1.5448144695905397,0.015433613079329552,1.5505134467307682,1.8905619326094187,0.0156996459178085,1.8944703799904805,40.0,0.0,40.0,1.0,0.0,1.0,18388.900051839802,1200.8398856816702,17813.319099882334,0.8547710870864581,0.00196163850263382,0.8567317033791195,0.19951117755404787,0.008623219241723275,0.19255233208950884,165.88884319314363,10.194202978111024,146.69387762505008,-1.3382821943894132,0.014604628103568782,-1.3363035359765276,5216.439442894057,336.15939432142613,4986.408133776599
TSC_het,slow,62,62,3116,3.354161150968151,0.034030179912664174,3.372141933791573,0.7095098009450387,0.006065898122040818,0.7159201445317023,1.655219788165745,0.011582572809428718,1.658903241100656,1.791814061593843,0.011822581587373125,1.7751698147109223,40.0,0.0,40.0,1.0,0.0,1.0,24789.19590021457,1614.5659116865827,23086.416400064387,0.8721619232667341,0.002590973076878924,0.8758724674787988,0.2192785416293731,0.01410826339582309,0.1991305376156398,148.49074630013627,12.25011453900485,123.10280094749261,-1.3415493972375907,0.01602747607949241,-1.338118515356344,6861.437323826859,427.80084396745434,6470.519810610156
