group,speed_bin,coordinate,forcing_mean,n_models
Cntnap_het,slow,LF AP,287.64705158165856,72
Cntnap_het,slow,RF AP,287.6470515816583,72
Cntnap_het,slow,RH AP,269.44572604699556,72
Cntnap_het,slow,LH AP,269.44572604699505,72
Cntnap_het,fast,LF AP,164.65001081357957,72
Cntnap_het,fast,RF AP,164.65001081357974,72
Cntnap_het,fast,RH AP,221.46827953786067,72
Cntnap_het,fast,LH AP,221.4682795378604,72
Cntnap_het,medium,LF AP,201.16150884566244,72
Cntnap_het,medium,RF AP,201.16150884566258,72
Cntnap_het,medium,RH AP,219.13322856376752,72
Cntnap_het,medium,LH AP,219.13322856376732,72
Cntnap_hom,fast,LF AP,149.38878985254505,37
Cntnap_hom,fast,RF AP,149.38878985254533,37
Cntnap_hom,fast,RH AP,205.93260005711227,37
Cntnap_hom,fast,LH AP,205.93260005711218,37
Cntnap_hom,medium,LF AP,139.1436486845191,37
Cntnap_hom,medium,RF AP,139.1436486845193,37
Cntnap_hom,medium,RH AP,177.1127494770771,37
Cntnap_hom,medium,LH AP,177.112749477077,37
Cntnap_hom,slow,LF AP,197.86732304159335,37
Cntnap_hom,slow,RF AP,197.86732304159366,37
Cntnap_hom,slow,RH AP,190.94586237491907,37
Cntnap_hom,slow,LH AP,190.94586237491959,37
Cntnap_neg,slow,LF AP,283.3121966300296,56
Cntnap_neg,slow,RF AP,283.31219663003003,56
Cntnap_neg,slow,RH AP,247.9696524687813,56
Cntnap_neg,slow,LH AP,247.96965246878077,56
Cntnap_neg,medium,LF AP,197.3561256569469,56
Cntnap_neg,medium,RF AP,197.35612565694686,56
Cntnap_neg,medium,RH AP,208.64021561794684,56
Cntnap_neg,medium,LH AP,208.64021561794684,56
Cntnap_neg,fast,LF AP,166.17955226730513,57
Cntnap_neg,fast,RF AP,166.17955226730547,57
Cntnap_neg,fast,RH AP,227.32268404444707,57
Cntnap_neg,fast,LH AP,227.3226840444469,57
TSC_het,slow,LF AP,509.7739520580113,63
TSC_het,slow,RF AP,509.7739520580123,63
TSC_het,slow,RH AP,389.6081001833397,63
TSC_het,slow,LH AP,389.6081001833396,63
TSC_het,fast,LF AP,234.9659663513789,63
TSC_het,fast,RF AP,234.96596635137897,63
TSC_het,fast,RH AP,261.8773836178759,63
TSC_het,fast,LH AP,261.8773836178762,63
TSC_het,medium,LF AP,311.951382165061,63
TSC_het,medium,RF AP,311.9513821650616,63
TSC_het,medium,RH AP,297.8522378538276,63
TSC_het,medium,LH AP,297.8522378538276,63
TSC_hom,fast,LF AP,224.19997973758635,35
TSC_hom,fast,RF AP,224.1999797375865,35
TSC_hom,fast,RH AP,212.09469833347097,35
TSC_hom,fast,LH AP,212.0946983334708,35
TSC_hom,slow,LF AP,369.1566482967092,35
TSC_hom,slow,RF AP,369.1566482967094,35
TSC_hom,slow,RH AP,333.74875248781666,35
TSC_hom,slow,LH AP,333.7487524878165,35
TSC_hom,medium,LF AP,250.9357428878194,35
TSC_hom,medium,RF AP,250.9357428878193,35
TSC_hom,medium,RH AP,236.16022098676527,35
TSC_hom,medium,LH AP,236.16022098676564,35
TSC_neg,fast,LF AP,218.3145653754288,65
TSC_neg,fast,RF AP,218.3145653754286,65
TSC_neg,fast,RH AP,258.8755277189998,65
TSC_neg,fast,LH AP,258.8755277189999,65
TSC_neg,slow,LF AP,485.62312155742654,65
TSC_neg,slow,RF AP,485.62312155742654,65
TSC_neg,slow,RH AP,390.5270425445853,65
TSC_neg,slow,LH AP,390.5270425445845,65
TSC_neg,medium,LF AP,295.8233510153096,65
TSC_neg,medium,RF AP,295.82335101530964,65
TSC_neg,medium,RH AP,260.8350136719841,65
TSC_neg,medium,LH AP,260.8350136719842,65
new_preds,fast,LF AP,212.4042406237518,374
new_preds,fast,RF AP,212.40424062375163,374
new_preds,fast,RH AP,261.4309770735918,374
new_preds,fast,LH AP,261.43097707359175,374
new_preds,medium,LF AP,258.5489164073295,374
new_preds,medium,RF AP,258.54891640732944,374
new_preds,medium,RH AP,250.78103729540473,374
new_preds,medium,LH AP,250.78103729540473,374
new_preds,slow,LF AP,339.90128712267926,374
new_preds,slow,RF AP,339.9012871226792,374
new_preds,slow,RH AP,295.3967103480573,374
new_preds,slow,LH AP,295.39671034805724,374
