group,metric,n_models,n_subjects,mean,sem,ci_low,ci_high
Cntnap_neg,peak_log_gain,169,57,3.277674161984966,0.013271306763618549,3.2538007897495644,3.303891744606456
Cntnap_neg,peak_frequency,169,57,4.540153143231613,0.06887713743665654,4.405065292533644,4.671020876997884
Cntnap_neg,peak_stride_multiple,169,57,1.3133102852203977,0.011324059347766927,1.2902387640449438,1.3342696629213482
Cntnap_neg,mean_log_gain,169,57,2.26374530537268,0.018181136690917064,2.2265053316237187,2.298945917611924
Cntnap_neg,band_0p75_2x_log_gain,169,57,2.968465839440431,0.011371543439818275,2.9448390009845116,2.9890265655683286
Cntnap_het,peak_log_gain,216,72,3.274802868982772,0.010953550433085404,3.2536836620484544,3.29608738098854
Cntnap_het,peak_frequency,216,72,4.492560382945819,0.07311331295313854,4.362618795629672,4.638203766612649
Cntnap_het,peak_stride_multiple,216,72,1.3149448605909273,0.010643665972337067,1.2944366416978774,1.3352245240324594
Cntnap_het,mean_log_gain,216,72,2.2738723924891935,0.019711329440962547,2.2359482435599385,2.3115649218631025
Cntnap_het,band_0p75_2x_log_gain,216,72,2.9683957692277323,0.011861627579189201,2.9442344816412436,2.99104015945014
Cntnap_hom,peak_log_gain,111,37,3.21084885536443,0.018878925369196716,3.174738071573017,3.2487023902085883
Cntnap_hom,peak_frequency,111,37,5.238344474161741,0.14067313178755295,4.971071448041076,5.498628138487472
Cntnap_hom,peak_stride_multiple,111,37,1.3347251746128148,0.017118274467360157,1.298663832371698,1.3679016094746432
Cntnap_hom,mean_log_gain,111,37,2.1544419584817205,0.028411908532856325,2.0965832435293352,2.207328100515627
Cntnap_hom,band_0p75_2x_log_gain,111,37,2.8695220037493634,0.022133954431756482,2.823830991555689,2.9088854835398936
TSC_neg,peak_log_gain,195,65,3.373027235816757,0.016459153443646547,3.342547812646198,3.4061264370431292
TSC_neg,peak_frequency,195,65,3.8434716731917784,0.09617607499347351,3.660348148361268,4.0282174474366
TSC_neg,peak_stride_multiple,195,65,1.3168683376548547,0.0163027669970441,1.2845721694036298,1.3469954624027658
TSC_neg,mean_log_gain,195,65,2.442631772143037,0.024896272602657664,2.3945210664940104,2.4936719483482017
TSC_neg,band_0p75_2x_log_gain,195,65,3.0534143205191793,0.014508428544989935,3.026925432571372,3.0838314854445548
TSC_het,peak_log_gain,189,63,3.400504694829043,0.017270256432204117,3.3664093340819465,3.435694135347525
TSC_het,peak_frequency,189,63,3.6532086343064365,0.09159777541382494,3.464830510628214,3.831664549291529
TSC_het,peak_stride_multiple,189,63,1.2962368467986447,0.016831393584632967,1.2615034777956127,1.3267556179775277
TSC_het,mean_log_gain,189,63,2.465797261549038,0.022924439009704638,2.4198641411888415,2.509375872237858
TSC_het,band_0p75_2x_log_gain,189,63,3.0617156079975696,0.013740000035154729,3.034112069108717,3.0888049167564584
TSC_hom,peak_log_gain,105,35,3.356895333303646,0.018094465691961794,3.3224705370962155,3.390986578992811
TSC_hom,peak_frequency,105,35,3.4507779671866787,0.10462284989344602,3.252383738842309,3.662392334760831
TSC_hom,peak_stride_multiple,105,35,1.3194489031567684,0.024011435718782004,1.271669341894061,1.361637239165329
TSC_hom,mean_log_gain,105,35,2.5342573125572736,0.02216340869393394,2.4902281353055185,2.5760884326460696
TSC_hom,band_0p75_2x_log_gain,105,35,3.0455531535953773,0.013402784196832487,3.019826247237775,3.0713089980740413
new_preds,peak_log_gain,1122,374,3.3328118122226353,0.0055542670882751145,3.3221991885996167,3.3441807820306075
new_preds,peak_frequency,1122,374,4.349310074207035,0.03100102166408718,4.286446187104163,4.407963409896616
new_preds,peak_stride_multiple,1122,374,1.3173205952452482,0.005568548889026831,1.3065631947365255,1.3279757255302524
new_preds,mean_log_gain,1122,374,2.322667344333456,0.009143829513459323,2.3051315033417534,2.3405240874742783
new_preds,band_0p75_2x_log_gain,1122,374,3.0251879671935407,0.005574587423343134,3.0147320324968754,3.036295589460357
