example,group,subject,speed_bin,smooth_window,limb,max_abs_derivative,p99_abs_derivative,p95_abs_derivative
1,Cntnap_neg,OFT-0691-00,medium,0,LF angle,42.97155590382218,34.382439235908805,19.969765675016017
1,Cntnap_neg,OFT-0691-00,medium,0,RF angle,50.61104484206482,46.58062254498588,34.178477308750836
1,Cntnap_neg,OFT-0691-00,medium,0,RH angle,32.85677133240905,29.057116443559764,20.88240683341423
1,Cntnap_neg,OFT-0691-00,medium,0,LH angle,41.12458942625767,38.846214967666285,28.99235543796778
1,Cntnap_neg,OFT-0691-00,medium,7,LF angle,24.785180972011382,22.779963925882083,15.915090827326566
1,Cntnap_neg,OFT-0691-00,medium,7,RF angle,31.81578913437938,31.631974364799227,25.974201956687374
1,Cntnap_neg,OFT-0691-00,medium,7,RH angle,24.675985782752054,21.039299840871042,17.833932018068094
1,Cntnap_neg,OFT-0691-00,medium,7,LH angle,26.42550219908048,25.134818267954046,22.810213425156483
1,Cntnap_neg,OFT-0691-00,medium,11,LF angle,16.670944505144185,15.007385546219837,12.397562680932102
1,Cntnap_neg,OFT-0691-00,medium,11,RF angle,22.985098905387474,21.311180108188776,19.555963795507232
1,Cntnap_neg,OFT-0691-00,medium,11,RH angle,17.52382607861443,16.32788351236791,14.806977083030404
1,Cntnap_neg,OFT-0691-00,medium,11,LH angle,22.706152937326067,19.627368988045408,17.548494986388036
1,Cntnap_neg,OFT-0691-00,medium,15,LF angle,12.643101672192222,11.478968591485199,9.593688887316262
1,Cntnap_neg,OFT-0691-00,medium,15,RF angle,17.773495446796478,17.196746511615842,15.708983672604006
1,Cntnap_neg,OFT-0691-00,medium,15,RH angle,14.174307999770022,12.86125759508283,11.843647499773905
1,Cntnap_neg,OFT-0691-00,medium,15,LH angle,16.181721043779262,15.262489017033584,13.564855942320484
1,Cntnap_neg,OFT-0691-00,medium,21,LF angle,9.727036909739132,8.134979421572167,6.466338629951441
1,Cntnap_neg,OFT-0691-00,medium,21,RF angle,13.541995918046421,13.002450929302158,11.727994294834101
1,Cntnap_neg,OFT-0691-00,medium,21,RH angle,9.144950783401631,8.783264926089679,7.578476349029544
1,Cntnap_neg,OFT-0691-00,medium,21,LH angle,12.77538209675402,11.621275982358995,9.644725740636344
2,TSC_hom,OFT-0658-00,medium,0,LF angle,74.54734642852043,46.1122718417768,19.331283576527916
2,TSC_hom,OFT-0658-00,medium,0,RF angle,76.46536704816805,54.34416243059222,24.92648253450517
2,TSC_hom,OFT-0658-00,medium,0,RH angle,29.18007617336853,23.801639092023546,16.998670248185196
2,TSC_hom,OFT-0658-00,medium,0,LH angle,49.93668293763821,32.840651973102204,23.216582654179053
2,TSC_hom,OFT-0658-00,medium,7,LF angle,34.18572053472008,29.3345011421624,18.165174022086152
2,TSC_hom,OFT-0658-00,medium,7,RF angle,37.34405222816963,36.302324572149914,24.2371355656953
2,TSC_hom,OFT-0658-00,medium,7,RH angle,23.00732892902656,19.30332624070898,13.801100698309451
2,TSC_hom,OFT-0658-00,medium,7,LH angle,39.045167269386894,26.385344902832955,18.842580453115566
2,TSC_hom,OFT-0658-00,medium,11,LF angle,21.809848154202893,19.990622153523265,14.069496930374385
2,TSC_hom,OFT-0658-00,medium,11,RF angle,25.4042199028018,23.46187605774766,19.745814340891325
2,TSC_hom,OFT-0658-00,medium,11,RH angle,17.934205068155247,15.426245106042861,11.749277753088698
2,TSC_hom,OFT-0658-00,medium,11,LH angle,27.43581410397856,20.293265394250984,14.532307637440574
2,TSC_hom,OFT-0658-00,medium,15,LF angle,15.599419535407355,15.121664757899433,11.536131673018195
2,TSC_hom,OFT-0658-00,medium,15,RF angle,18.341118696159548,17.4043981982824,15.561067931856517
2,TSC_hom,OFT-0658-00,medium,15,RH angle,13.726736328844424,12.515245544617896,10.131418749125054
2,TSC_hom,OFT-0658-00,medium,15,LH angle,18.656575897630713,15.18092192428719,11.742964351905083
2,TSC_hom,OFT-0658-00,medium,21,LF angle,12.074260964657668,10.430250999303357,8.385092860452591
2,TSC_hom,OFT-0658-00,medium,21,RF angle,14.768887179065853,13.435266624179839,11.914206333478717
2,TSC_hom,OFT-0658-00,medium,21,RH angle,8.670837590404417,8.382440373125183,7.420384297282438
2,TSC_hom,OFT-0658-00,medium,21,LH angle,10.170014046017894,9.923299767885641,8.95593247025605
