example,group,subject,speed_bin,n_train,test_frames,n_delays,rank_requested,rank_fit,stabilize,smooth_window,nrmse,rmse,amplitude_ratio,tail_amplitude_ratio,horizon,stride_frequency,spectral_radius
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,10,10,true,0,0.9043752907637955,0.25476302504050957,0.5242153139987914,0.21615535689451762,78,3.859649122807017,0.9767324104124538
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,10,10,true,7,0.9199829160004452,0.2532448742650635,0.5860578378622601,0.32683246553416007,78,3.859649122807017,0.9830293822306386
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,10,10,true,11,0.976259064186396,0.2574713935852859,0.7243078448834082,0.6227665134104475,78,3.859649122807017,0.9937641275016813
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,10,10,true,15,1.0437339692435381,0.259432060315618,0.7680750400119271,0.7226256226154201,78,3.859649122807017,0.9951439206143078
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,10,10,true,21,1.1223825192455725,0.24437948011071353,0.6409763915851443,0.601860230251674,78,3.859649122807017,0.9959800212602944
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,10,10,false,0,0.9043752907637952,0.25476302504050946,0.524215313998785,0.21615535689450832,78,3.859649122807017,0.9767324104124532
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,10,10,false,7,0.9199829160004442,0.2532448742650632,0.5860578378622443,0.3268324655341325,78,3.859649122807017,0.9830293822306386
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,10,10,false,11,0.9762590641863943,0.2574713935852855,0.7243078448834,0.6227665134104313,78,3.859649122807017,0.9937641275016805
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,10,10,false,15,1.0437339692435461,0.25943206031562,0.7680750400119388,0.7226256226154407,78,3.859649122807017,0.9951439206143077
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,10,10,false,21,1.1223825192456085,0.24437948011072136,0.6409763915851912,0.6018602302517716,78,3.859649122807017,0.9959800212602968
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,20,20,true,0,0.8917869778047205,0.25121689024186633,0.5431820033675713,0.17989384808765432,78,3.859649122807017,0.9720751971409461
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,20,20,true,7,0.8835040853758009,0.2432032998899257,0.5996981884610108,0.35266588490458717,78,3.859649122807017,0.9838158971416896
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,20,20,true,11,0.8992631367002196,0.23716505331403961,0.4715853621691161,0.2078858694476736,78,3.859649122807017,0.977204720805735
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,20,20,true,15,0.9180397830753906,0.22818932735088437,0.5559775380210877,0.3682724622259926,78,3.859649122807017,0.9858282386390339
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,20,20,true,21,0.9915857446353532,0.21590073313157426,0.48246573525704406,0.37375954864829714,78,3.859649122807017,0.9888811665038378
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,20,20,false,0,0.8917869778047204,0.2512168902418663,0.5431820033675678,0.1798938480876487,78,3.859649122807017,0.972075197140946
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,20,20,false,7,0.8835040853758008,0.24320329988992567,0.5996981884610122,0.35266588490458817,78,3.859649122807017,0.9838158971416906
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,20,20,false,11,0.8992631367002202,0.23716505331403975,0.47158536216912256,0.2078858694476802,78,3.859649122807017,0.977204720805734
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,20,20,false,15,0.9180397830753914,0.22818932735088457,0.5559775380210925,0.36827246222600446,78,3.859649122807017,0.9858282386390338
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,20,20,false,21,0.9915857446353464,0.2159007331315728,0.4824657352570329,0.37375954864827543,78,3.859649122807017,0.9888811665038374
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,40,32,true,0,0.8994771507647322,0.25338321626424437,0.5617549056198096,0.17164310060604346,78,3.859649122807017,0.9704558410346328
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,40,32,true,7,0.8834744201585173,0.24319513390761194,0.4955533072262406,0.18930610229183284,78,3.859649122807017,0.9733759887511869
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,40,32,true,11,0.8912408084204237,0.23504930338887084,0.400387234389022,0.06252597205668617,78,3.859649122807017,0.9560024069009584
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,40,32,true,15,0.885836760770976,0.2201848964604352,0.44050417456124985,0.17321962223041495,78,3.859649122807017,0.9742671459090392
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,40,32,true,21,0.9398308836943141,0.20463200273609836,0.3844692612870245,0.20009160518707225,78,3.859649122807017,0.9799612962519209
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,40,32,false,0,0.8994771507647358,0.25338321626424537,0.5617549056198218,0.17164310060605847,78,3.859649122807017,0.970455841034634
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,40,32,false,7,0.8834744201585172,0.2431951339076119,0.4955533072262335,0.18930610229182374,78,3.859649122807017,0.9733759887511855
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,40,32,false,11,0.891240808420424,0.2350493033888709,0.4003872343890186,0.06252597205668321,78,3.859649122807017,0.9560024069009598
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,40,32,false,15,0.8858367607709746,0.22018489646043488,0.4405041745612429,0.1732196222304066,78,3.859649122807017,0.9742671459090391
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,40,32,false,21,0.9398308836943143,0.2046320027360984,0.3844692612870274,0.20009160518707453,78,3.859649122807017,0.9799612962519211
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,60,32,true,0,0.8994771507647322,0.25338321626424437,0.5617549056198096,0.17164310060604346,78,3.859649122807017,0.9704558410346328
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,60,32,true,7,0.8834744201585173,0.24319513390761194,0.4955533072262406,0.18930610229183284,78,3.859649122807017,0.9733759887511869
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,60,32,true,11,0.8912408084204237,0.23504930338887084,0.400387234389022,0.06252597205668617,78,3.859649122807017,0.9560024069009584
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,60,32,true,15,0.885836760770976,0.2201848964604352,0.44050417456124985,0.17321962223041495,78,3.859649122807017,0.9742671459090392
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,60,32,true,21,0.9398308836943141,0.20463200273609836,0.3844692612870245,0.20009160518707225,78,3.859649122807017,0.9799612962519209
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,60,32,false,0,0.8994771507647358,0.25338321626424537,0.5617549056198218,0.17164310060605847,78,3.859649122807017,0.970455841034634
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,60,32,false,7,0.8834744201585172,0.2431951339076119,0.4955533072262335,0.18930610229182374,78,3.859649122807017,0.9733759887511855
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,60,32,false,11,0.891240808420424,0.2350493033888709,0.4003872343890186,0.06252597205668321,78,3.859649122807017,0.9560024069009598
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,60,32,false,15,0.8858367607709746,0.22018489646043488,0.4405041745612429,0.1732196222304066,78,3.859649122807017,0.9742671459090391
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,60,32,false,21,0.9398308836943143,0.2046320027360984,0.3844692612870274,0.20009160518707453,78,3.859649122807017,0.9799612962519211
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,80,32,true,0,0.8994771507647322,0.25338321626424437,0.5617549056198096,0.17164310060604346,78,3.859649122807017,0.9704558410346328
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,80,32,true,7,0.8834744201585173,0.24319513390761194,0.4955533072262406,0.18930610229183284,78,3.859649122807017,0.9733759887511869
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,80,32,true,11,0.8912408084204237,0.23504930338887084,0.400387234389022,0.06252597205668617,78,3.859649122807017,0.9560024069009584
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,80,32,true,15,0.885836760770976,0.2201848964604352,0.44050417456124985,0.17321962223041495,78,3.859649122807017,0.9742671459090392
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,80,32,true,21,0.9398308836943141,0.20463200273609836,0.3844692612870245,0.20009160518707225,78,3.859649122807017,0.9799612962519209
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,80,32,false,0,0.8994771507647358,0.25338321626424537,0.5617549056198218,0.17164310060605847,78,3.859649122807017,0.970455841034634
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,80,32,false,7,0.8834744201585172,0.2431951339076119,0.4955533072262335,0.18930610229182374,78,3.859649122807017,0.9733759887511855
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,80,32,false,11,0.891240808420424,0.2350493033888709,0.4003872343890186,0.06252597205668321,78,3.859649122807017,0.9560024069009598
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,80,32,false,15,0.8858367607709746,0.22018489646043488,0.4405041745612429,0.1732196222304066,78,3.859649122807017,0.9742671459090391
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,80,32,false,21,0.9398308836943143,0.2046320027360984,0.3844692612870274,0.20009160518707453,78,3.859649122807017,0.9799612962519211
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,120,32,true,0,0.8994771507647322,0.25338321626424437,0.5617549056198096,0.17164310060604346,78,3.859649122807017,0.9704558410346328
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,120,32,true,7,0.8834744201585173,0.24319513390761194,0.4955533072262406,0.18930610229183284,78,3.859649122807017,0.9733759887511869
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,120,32,true,11,0.8912408084204237,0.23504930338887084,0.400387234389022,0.06252597205668617,78,3.859649122807017,0.9560024069009584
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,120,32,true,15,0.885836760770976,0.2201848964604352,0.44050417456124985,0.17321962223041495,78,3.859649122807017,0.9742671459090392
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,120,32,true,21,0.9398308836943141,0.20463200273609836,0.3844692612870245,0.20009160518707225,78,3.859649122807017,0.9799612962519209
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,120,32,false,0,0.8994771507647358,0.25338321626424537,0.5617549056198218,0.17164310060605847,78,3.859649122807017,0.970455841034634
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,120,32,false,7,0.8834744201585172,0.2431951339076119,0.4955533072262335,0.18930610229182374,78,3.859649122807017,0.9733759887511855
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,120,32,false,11,0.891240808420424,0.2350493033888709,0.4003872343890186,0.06252597205668321,78,3.859649122807017,0.9560024069009598
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,120,32,false,15,0.8858367607709746,0.22018489646043488,0.4405041745612429,0.1732196222304066,78,3.859649122807017,0.9742671459090391
1,Cntnap_neg,OFT-0691-00,medium,120,285,8,120,32,false,21,0.9398308836943143,0.2046320027360984,0.3844692612870274,0.20009160518707453,78,3.859649122807017,0.9799612962519211
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,10,10,true,0,1.0559176969600002,0.28962305375455194,0.7529792343833842,0.6916086491592374,78,3.859649122807017,0.9960080862520805
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,10,10,true,7,1.070931539148069,0.28850783947527964,0.7509636924615901,0.7001706599837064,78,3.859649122807017,0.9962640871260339
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,10,10,true,11,1.070895617966518,0.27817490981657833,0.8013286926763273,0.7508005595113065,78,3.859649122807017,0.9970073529920432
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,10,10,true,15,1.184379135347315,0.2913244357715922,0.9292964796106059,0.9868072457815426,78,3.859649122807017,0.9993410213647359
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,10,10,true,21,1.243017249980071,0.27042846972878914,0.7990127883869136,0.8701597913078869,78,3.859649122807017,0.9995619822219081
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,10,10,false,0,1.0559176969599935,0.2896230537545501,0.7529792343833682,0.6916086491592095,78,3.859649122807017,0.9960080862520805
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,10,10,false,7,1.0709315391480534,0.2885078394752755,0.7509636924615608,0.7001706599836548,78,3.859649122807017,0.9962640871260324
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,10,10,false,11,1.0708956179665308,0.27817490981658166,0.8013286926763546,0.7508005595113547,78,3.859649122807017,0.9970073529920438
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,10,10,false,15,1.1843791353473463,0.29132443577159994,0.9292964796106485,0.986807245781619,78,3.859649122807017,0.9993410213647365
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,10,10,false,21,1.2430172499800531,0.27042846972878526,0.7990127883868926,0.8701597913078472,78,3.859649122807017,0.9995619822219082
