group,speed_bin,coordinate,forcing_mean,n_models
Cntnap_het,slow,LF radius,201.11214115162576,72
Cntnap_het,slow,LF angle,2.9235928133089555,72
Cntnap_het,slow,RF radius,203.49194112586991,72
Cntnap_het,slow,RF angle,2.2228173357925787,72
Cntnap_het,slow,RH radius,151.0411214556823,72
Cntnap_het,slow,RH angle,2.6091036313882103,72
Cntnap_het,slow,LH radius,160.2919058903784,72
Cntnap_het,slow,LH angle,1.9633387198472763,72
Cntnap_het,fast,LF radius,116.94091246586429,72
Cntnap_het,fast,LF angle,0.5560663452056669,72
Cntnap_het,fast,RF radius,114.10833533046576,72
Cntnap_het,fast,RF angle,0.4401630107683799,72
Cntnap_het,fast,RH radius,83.43030167622365,72
Cntnap_het,fast,RH angle,0.5366322081048065,72
Cntnap_het,fast,LH radius,94.08794580620557,72
Cntnap_het,fast,LH angle,0.3990841967025854,72
Cntnap_het,medium,LF radius,137.29741785521617,72
Cntnap_het,medium,LF angle,1.1004901071187243,72
Cntnap_het,medium,RF radius,136.08665279974915,72
Cntnap_het,medium,RF angle,0.9450602337293286,72
Cntnap_het,medium,RH radius,94.99190213982384,72
Cntnap_het,medium,RH angle,0.7989247117715768,72
Cntnap_het,medium,LH radius,104.27244094931892,72
Cntnap_het,medium,LH angle,0.636344586279428,72
Cntnap_hom,fast,LF radius,91.66297147705352,37
Cntnap_hom,fast,LF angle,0.15588292901043788,37
Cntnap_hom,fast,RF radius,98.29245590530817,37
Cntnap_hom,fast,RF angle,0.13025597173282674,37
Cntnap_hom,fast,RH radius,86.80712364642946,37
Cntnap_hom,fast,RH angle,0.6718373214960321,37
Cntnap_hom,fast,LH radius,83.87530040870983,37
Cntnap_hom,fast,LH angle,0.27987867580340875,37
Cntnap_hom,medium,LF radius,94.39607280021319,37
Cntnap_hom,medium,LF angle,0.8881281538199151,37
Cntnap_hom,medium,RF radius,98.33172335699278,37
Cntnap_hom,medium,RF angle,0.9776216517538646,37
Cntnap_hom,medium,RH radius,77.4969976829693,37
Cntnap_hom,medium,RH angle,1.2313484757009694,37
Cntnap_hom,medium,LH radius,75.90391476671134,37
Cntnap_hom,medium,LH angle,0.49026249763685437,37
Cntnap_hom,slow,LF radius,153.36481856141458,37
Cntnap_hom,slow,LF angle,2.444723826777336,37
Cntnap_hom,slow,RF radius,154.88277156366613,37
Cntnap_hom,slow,RF angle,1.1461849368867159,37
Cntnap_hom,slow,RH radius,105.72442032976184,37
Cntnap_hom,slow,RH angle,2.6299674784267095,37
