group,metric,n_models,n_subjects,mean,sem,ci_low,ci_high
Cntnap_neg,diagonal_dominance,169,57,2.0261272202772997,0.05748229877031445,1.9073932132471156,2.142274427439367
Cntnap_neg,fore_hind_coupling,169,57,0.2044886457598166,0.0049169247121606825,0.19516012231826266,0.21410807188451614
Cntnap_neg,left_right_coupling,169,57,0.20883734554347927,0.005079436179494467,0.19904046719814045,0.21924146136365447
Cntnap_neg,cross_gain,169,57,0.18953789841201402,0.005482507401312903,0.1788907833663326,0.20031292117131058
Cntnap_neg,angle_angle_coupling,169,57,0.005009066252336118,0.0006138610823738274,0.0037961557990216182,0.0062140485622340395
Cntnap_neg,radius_radius_coupling,169,57,0.6685011901201902,0.01095228350345095,0.6466756240645016,0.6900935033875847
Cntnap_neg,radius_to_angle_coupling,169,57,0.011364228317333183,0.0002522384168082554,0.010922361707965608,0.011882177113729174
Cntnap_neg,angle_to_radius_coupling,169,57,0.16211389085002928,0.02010184200285061,0.12360818616075149,0.20275013825810628
Cntnap_neg,angle_radius_cross_coupling,169,57,0.08673905958368125,0.010028819771109256,0.06749603346975284,0.10715589745863666
Cntnap_neg,angle_selectivity,169,57,0.05910012509498762,0.006106647445922281,0.047413968528457626,0.07115846058259465
Cntnap_het,diagonal_dominance,216,72,2.034966138890973,0.04969116096901942,1.9313682830181698,2.1264854927322796
Cntnap_het,fore_hind_coupling,216,72,0.20552659630246092,0.004705880721436079,0.19718700532291647,0.215259205128289
Cntnap_het,left_right_coupling,216,72,0.20743729803517735,0.004874694087615567,0.19872281917434825,0.2171841164339792
Cntnap_het,cross_gain,216,72,0.1881613007771602,0.005196885081471236,0.17853023078035482,0.19905158011575388
Cntnap_het,angle_angle_coupling,216,72,0.004649249159457753,0.0005920839998469475,0.0035730480452126723,0.005828939382390192
Cntnap_het,radius_radius_coupling,216,72,0.6807187672865005,0.008914518987092808,0.6630959937758794,0.6986512363240016
Cntnap_het,radius_to_angle_coupling,216,72,0.01138755255319135,0.00022189751045268626,0.010953983786433011,0.011836549433616513
Cntnap_het,angle_to_radius_coupling,216,72,0.14581514365559856,0.017917719138353872,0.11240025652964225,0.18403270263674631
Cntnap_het,angle_radius_cross_coupling,216,72,0.07860134810439498,0.008953124398253584,0.06195934612236505,0.0977651172756083
Cntnap_het,angle_selectivity,216,72,0.05594261960798995,0.004412420787595562,0.04773971157069387,0.0643220372816078
Cntnap_hom,diagonal_dominance,111,37,2.131708608171839,0.06528317540927207,2.0011653848073294,2.2500091504166093
Cntnap_hom,fore_hind_coupling,111,37,0.20589854140983613,0.005990598204536698,0.1949284779824058,0.21803616778265264
