group,metric,n_models,n_subjects,mean,sem,ci_low,ci_high
Cntnap_neg,peak_log_gain,169,57,3.0940901662977405,0.026182484525636443,3.049447057893718,3.1510142237928647
Cntnap_neg,peak_frequency,169,57,4.414773971034415,0.13867159731830872,4.1502227977133685,4.687916910306973
Cntnap_neg,peak_stride_multiple,169,57,1.2915198457549364,0.03209379763055427,1.2265683520599244,1.3502106741573034
Cntnap_neg,mean_log_gain,169,57,2.077641854428193,0.02021659743951965,2.035781634445026,2.1168355593442603
Cntnap_neg,band_0p75_2x_log_gain,169,57,2.7451392179927474,0.0118345742354864,2.7214555029893868,2.769004838269213
Cntnap_het,peak_log_gain,216,72,3.0847499667236673,0.014524189991904366,3.058615910717757,3.1132883325475973
Cntnap_het,peak_frequency,216,72,4.3737353195710025,0.1288690507823952,4.115536104038861,4.628253188082353
Cntnap_het,peak_stride_multiple,216,72,1.2828235538909685,0.02591840277236053,1.2299284098002492,1.330758426966292
Cntnap_het,mean_log_gain,216,72,2.0863261736371594,0.02011999857182845,2.0467484233088604,2.123450868492698
Cntnap_het,band_0p75_2x_log_gain,216,72,2.749197785134453,0.011213171549094555,2.7270549897953877,2.7705669960767043
Cntnap_hom,peak_log_gain,111,37,3.088051298484934,0.028772402014524585,3.036237957758001,3.148520705769452
Cntnap_hom,peak_frequency,111,37,5.356505913083343,0.2121493510811618,4.926786252028412,5.738978706086219
Cntnap_hom,peak_stride_multiple,111,37,1.392423322198603,0.04983452483875675,1.2971853173398116,1.4877695110841176
Cntnap_hom,mean_log_gain,111,37,1.9676806604520505,0.027655435974995916,1.9106299088358838,2.0205441196963023
Cntnap_hom,band_0p75_2x_log_gain,111,37,2.642854324609703,0.015990001854337473,2.6102082618007945,2.6711226184765073
TSC_neg,peak_log_gain,195,65,3.296874802556326,0.03578747883857267,3.2328312165984854,3.3712298896818296
TSC_neg,peak_frequency,195,65,3.6595499702752634,0.14965417609504453,3.359699159992755,3.9624743572134697
TSC_neg,peak_stride_multiple,195,65,1.2643186401613369,0.045682433674595846,1.1835166378565258,1.3642178046672426
TSC_neg,mean_log_gain,195,65,2.2742006717339667,0.027342448430866164,2.2197550876892738,2.3281318300792972
TSC_neg,band_0p75_2x_log_gain,195,65,2.8684136855078197,0.01575432642297094,2.839655556911333,2.900681253307871
TSC_het,peak_log_gain,189,63,3.370262153882221,0.036479987174005,3.3057220603395163,3.443999374504725
TSC_het,peak_frequency,189,63,3.4799628370065405,0.1292659709972679,3.2305518224699292,3.7431417802489095
TSC_het,peak_stride_multiple,189,63,1.244842756078711,0.04030158314233789,1.1733993222757269,1.3335328607098271
TSC_het,mean_log_gain,189,63,2.303141299662731,0.026804199897413245,2.249657965439156,2.3567308822381747
TSC_het,band_0p75_2x_log_gain,189,63,2.902602050320465,0.01734669052064195,2.869182807219111,2.9373940541857184
TSC_hom,peak_log_gain,105,35,3.2381644154468106,0.028993909075682337,3.1858930305163553,3.2989960582138846
TSC_hom,peak_frequency,105,35,3.302186257576416,0.1275830183784984,3.03618028560095,3.554390372422841
TSC_hom,peak_stride_multiple,105,35,1.266586409844837,0.029362342134531382,1.2044983948635635,1.3174157303370784
TSC_hom,mean_log_gain,105,35,2.3763448285996818,0.0244486003595194,2.3257890886667987,2.421233033058723
TSC_hom,band_0p75_2x_log_gain,105,35,2.856120777341722,0.016612859262597864,2.8244123296306385,2.888938068898036
new_preds,peak_log_gain,1122,374,3.1071461265808886,0.008532428370127689,3.090896369049029,3.1246666934970846
new_preds,peak_frequency,1122,374,4.294026654143219,0.058870381737236216,4.184673374108301,4.413505028700265
new_preds,peak_stride_multiple,1122,374,1.309424382623325,0.015609069656176866,1.2812976927236672,1.3419641515952656
new_preds,mean_log_gain,1122,374,2.0993482558112415,0.009417227828407511,2.0815278028993074,2.1187507523300604
new_preds,band_0p75_2x_log_gain,1122,374,2.747242999460081,0.005268029026032221,2.7366645173786583,2.757667204021048
