group,subject,speed_bin,model_index,peak_log_gain,peak_frequency,peak_stride_multiple,mean_log_gain,band_0p75_2x_log_gain
Cntnap_het,OFT-0366-00,slow,1,3.1570182881887643,3.001605136436597,1.050561797752809,2.2850064012450773,2.818105427522064
Cntnap_het,OFT-0366-00,fast,2,2.9767667898947647,5.442860190584555,1.4241573033707866,1.9472426925638524,2.67014131721219
Cntnap_het,OFT-0366-00,medium,3,3.0694671420993798,4.249728162377672,1.3174157303370786,2.1095513976853595,2.78373191813962
Cntnap_het,OFT-0371-00,fast,4,2.995025550545588,4.827651875833174,1.4241573033707866,2.035256634589048,2.7684465360288417
Cntnap_het,OFT-0371-00,medium,5,3.29229159044358,3.7833567415730336,1.2106741573033708,2.188447199823071,2.8973827588139325
Cntnap_het,OFT-0371-00,slow,6,3.3512143554132714,1.4847512038523274,0.6235955056179775,2.533451232033392,3.0580487095488507
Cntnap_het,OFT-0376-00,fast,7,3.0450307171057385,6.199147617202634,1.797752808988764,2.0595332752502653,2.8636158957520554
Cntnap_het,OFT-0376-00,slow,8,3.486215499771248,3.136704119850187,1.3174157303370786,2.422970439946028,2.9382866521453423
Cntnap_het,OFT-0376-00,medium,9,3.1667533413669324,3.668709567585972,1.2106741573033708,2.207891235699202,2.857940072487943
Cntnap_het,OFT-0385-00,medium,10,3.0951607402809804,3.9501404494382024,1.2640449438202248,2.1618428056413097,2.818775200497934
Cntnap_het,OFT-0385-00,fast,11,3.100229000087132,4.139747191011236,1.103932584269663,1.9940575599094448,2.8617461761842553
Cntnap_het,OFT-0385-00,slow,12,3.601266549134342,2.983601579107197,1.103932584269663,2.322550361674478,2.9860417434170503
Cntnap_het,OFT-0391-00,slow,13,3.071084648551501,4.053586862575627,1.3174157303370786,2.2344192379574697,2.842217127640751
Cntnap_het,OFT-0391-00,fast,14,2.9988735401799076,5.311113209328676,1.2640449438202248,1.8730705349033028,2.6170372391925287
Cntnap_het,OFT-0391-00,medium,15,3.0531638365810867,4.429295697451356,1.2106741573033708,1.974558614654307,2.7292433014711612
Cntnap_het,OFT-0403-00,medium,16,2.98206846003338,5.357384195463219,1.4241573033707866,1.9329559342789635,2.661147624092387
Cntnap_het,OFT-0403-00,fast,17,2.9831059457101943,5.711610486891385,1.3707865168539326,1.8744481116320648,2.5942164746971885
Cntnap_het,OFT-0403-00,slow,18,2.90927052324109,4.938383472272562,1.5308988764044944,2.0968670194992702,2.7208467319509935
Cntnap_het,OFT-0407-00,fast,19,3.0710582800614885,5.519333285685063,1.3174157303370786,1.8892815107123613,2.641409840005889
Cntnap_het,OFT-0407-00,medium,20,3.0098515930707643,5.278961642774118,1.5308988764044944,2.0328105131176004,2.732527790997622
Cntnap_het,OFT-0407-00,slow,21,2.9852275038960676,3.388909025009061,1.050561797752809,2.1025450931130765,2.693210214999374
Cntnap_het,OFT-0419-00,fast,22,3.0282340065813176,5.659151389710231,1.4241573033707866,1.9077959029400413,2.6873601453199676
Cntnap_het,OFT-0419-00,slow,23,3.0409279128833573,4.730216908009374,1.5842696629213484,2.259685353722239,2.7730010005165533
Cntnap_het,OFT-0419-00,medium,24,3.0103425642334884,4.590336876747731,1.2106741573033708,1.9671806622181998,2.7286778038478046
Cntnap_het,OFT-0420-00,medium,25,3.0484476910747556,5.1804663813090785,1.4241573033707866,1.9729469546697733,2.692299856318674
Cntnap_het,OFT-0420-00,fast,26,3.1506876644478368,5.447223844811722,1.4775280898876404,1.958324259321416,2.678092049268614
Cntnap_het,OFT-0420-00,slow,27,3.203094968010291,4.002501995456499,1.2106741573033708,2.0608347469844968,2.6839144121675234
Cntnap_het,OFT-0421-00,slow,28,3.1433846450167686,4.176929585630627,1.3174157303370786,2.1695626254739966,2.7545382590617717
Cntnap_het,OFT-0421-00,fast,29,3.080527114498418,6.085353224194102,1.3174157303370786,1.8333090854805918,2.59028924541598
Cntnap_het,OFT-0421-00,medium,30,2.9921857255284756,4.666849365122864,1.1573033707865168,1.9088758521287401,2.6229886017169557
Cntnap_het,OFT-0423-00,slow,31,3.0506653440132663,4.117929511187938,1.3174157303370786,2.193813289173941,2.7514501895482852
Cntnap_het,OFT-0423-00,fast,32,2.9691804024169226,5.651417870518995,1.4241573033707866,1.9104313772278634,2.6694529180025564
Cntnap_het,OFT-0423-00,medium,33,2.9873852362486,5.194326763676552,1.5842696629213484,2.0859818183153984,2.7093859872525177
Cntnap_het,OFT-0425-00,slow,34,3.0720530857162074,2.983601579107197,1.103932584269663,2.3039548003698718,2.8232935259542273
Cntnap_het,OFT-0425-00,medium,35,2.996909312592427,4.639087504256044,1.5308988764044944,2.208396778273863,2.7583552534756945
Cntnap_het,OFT-0425-00,fast,36,2.933728375796342,5.595047007567072,1.3707865168539326,1.861626281490319,2.577433231378695
Cntnap_het,OFT-0428-00,slow,37,2.9456203549585553,5.37157500492805,1.5308988764044944,1.9722215547236115,2.67918337719817
Cntnap_het,OFT-0428-00,medium,38,3.0691233228342556,5.727894479726428,1.3174157303370786,1.8235350093984743,2.5624463650236895
Cntnap_het,OFT-0428-00,fast,39,3.143371045255093,6.319498289449337,1.2106741573033708,1.628418162086554,2.4321907480290332
Cntnap_het,OFT-0430-00,fast,40,2.9463485115006542,5.921717171717171,1.3174157303370786,1.8156054994043436,2.57890157719473
Cntnap_het,OFT-0430-00,medium,41,2.962549440232545,5.405590572759659,1.4775280898876404,1.9943642136354807,2.7025871570927125
Cntnap_het,OFT-0430-00,slow,42,3.1978919780059853,5.067021486300019,1.6376404494382022,2.1111507085982986,2.73498347887141
Cntnap_het,OFT-0431-00,medium,43,3.15551322181679,4.21780466724287,1.3707865168539326,2.152294826070627,2.7552054688642937
Cntnap_het,OFT-0431-00,slow,44,3.0210443930571236,3.6320224719101124,1.2106741573033708,2.171500466450242,2.7079038975066494
Cntnap_het,OFT-0431-00,fast,45,3.0590502691359513,5.372829417773238,1.4775280898876404,1.920907628679261,2.6092802512084536
