group,metric,n_models,n_subjects,r_speed,slope_per_speed,r_henrici
Cntnap_het,henrici,216,72,0.649653016991184,0.015766998774187385,NaN
Cntnap_het,log_tgmax,216,72,-0.26228264833089177,-0.014559056388061984,0.12752512476428776
Cntnap_het,participation_ratio,216,72,-0.49683696917572606,-0.20851520868329917,-0.37268481426244937
Cntnap_het,qfactor_median,216,72,-0.045271816794511095,-0.008160588506058258,0.09116790279151105
Cntnap_het,h1_concentration,216,72,0.20232053061605546,0.667280031306398,0.23225339283944305
Cntnap_het,io_gain_max,216,72,-0.6515373037768863,-50.456891968552725,-0.24395359544913153
Cntnap_hom,henrici,111,37,0.6443127026712973,0.01619993907290711,NaN
Cntnap_hom,log_tgmax,111,37,0.060214751917197086,0.003463767176109991,0.36547957392327596
Cntnap_hom,participation_ratio,111,37,-0.5040120087883617,-0.266768701599394,-0.23737545256363277
Cntnap_hom,qfactor_median,111,37,-0.030518786005695117,-0.018597663884275438,-0.00610829927147102
Cntnap_hom,h1_concentration,111,37,0.3195975642828945,2.3582875381213597,0.18911679311582846
Cntnap_hom,io_gain_max,111,37,-0.5243851825316542,-28.015502166975814,-0.20227219308925828
Cntnap_neg,henrici,169,57,0.671079109187318,0.01572896409090543,NaN
Cntnap_neg,log_tgmax,169,57,-0.2864581598076852,-0.018315089377539763,-0.029198944620129463
Cntnap_neg,participation_ratio,169,57,-0.6210497671618815,-0.2852168351210418,-0.42858366288088284
Cntnap_neg,qfactor_median,169,57,0.2596359062456634,0.11826567318348852,0.30374404983784126
Cntnap_neg,h1_concentration,169,57,-0.06974033910630391,-0.24441313094831088,-0.05594404547438857
Cntnap_neg,io_gain_max,169,57,-0.6229334766650426,-51.32024350280946,-0.3935385157491547
TSC_het,henrici,189,63,0.4778476660694345,0.015078985914053227,NaN
TSC_het,log_tgmax,189,63,-0.1496671296241788,-0.014954206665270378,0.05219781894358033
TSC_het,participation_ratio,189,63,-0.31277176122287687,-0.134536254103318,-0.3235718366146383
TSC_het,qfactor_median,189,63,-0.19178763402056964,-0.21992538315402865,0.04949403309583756
TSC_het,h1_concentration,189,63,-0.15661569438765024,-2.4736417058794937,-0.134639060951464
TSC_het,io_gain_max,189,63,-0.37202825093637215,-253.84668857797894,-0.1597858040084392
TSC_hom,henrici,105,35,-0.015226760272453801,-0.00040948502055052744,NaN
TSC_hom,log_tgmax,105,35,-0.03111164167972455,-0.005222441392866849,0.016567032302140888
TSC_hom,participation_ratio,105,35,-0.2449873789336403,-0.15123610814309635,0.09108397588135124
TSC_hom,qfactor_median,105,35,0.0369799486480885,0.015124625574638584,-0.13429406605930486
TSC_hom,h1_concentration,105,35,-0.10102181427004879,-0.4628584303488643,-0.13232518608985744
TSC_hom,io_gain_max,105,35,-0.4234696412215189,-140.79047319730412,-0.0762053067259342
TSC_neg,henrici,195,65,0.4211581948216032,0.012423073031978189,NaN
TSC_neg,log_tgmax,195,65,-0.03795346120244331,-0.003460110508390588,0.17811673177849846
TSC_neg,participation_ratio,195,65,-0.15410603124080452,-0.07615446880179165,-0.2379359855458885
TSC_neg,qfactor_median,195,65,-0.1850645569352964,-0.14957848120313472,-0.12755443756961407
TSC_neg,h1_concentration,195,65,-0.08001794639376704,-0.423276431238176,-0.04406423826653606
TSC_neg,io_gain_max,195,65,-0.43120300049887594,-163.26224957920863,-0.16150417776439505
new_preds,henrici,1122,374,0.5340204205601548,0.01612798472311436,NaN
new_preds,log_tgmax,1122,374,0.025440573519865322,0.0021031199567514217,0.39711482536009945
new_preds,participation_ratio,1122,374,-0.49454518757989163,-0.26022833844467674,-0.3387097530945761
new_preds,qfactor_median,1122,374,0.010838454512813801,0.005167914428655414,-0.05076509400374199
new_preds,h1_concentration,1122,374,0.232999101549577,1.462978600827628,0.1600502138739171
new_preds,io_gain_max,1122,374,-0.4130404921091382,-62.84120582480434,-0.1446746782102034
