group,metric,n_models,n_subjects,mean,sem,ci_low,ci_high
Cntnap_neg,diagonal_dominance,169,57,1.7227721485991152,0.028735350711646773,1.6598615178147424,1.7753980756952346
Cntnap_neg,fore_hind_coupling,169,57,0.35379539267597027,0.00863432578215125,0.33651059853917975,0.3707298847347696
Cntnap_neg,left_right_coupling,169,57,0.3402097808528469,0.008463374730715848,0.3235015097540704,0.3568512436492058
Cntnap_neg,cross_gain,169,57,0.3678945386025379,0.008121949936818626,0.35109708608401324,0.38376407687171477
Cntnap_het,diagonal_dominance,216,72,1.6689848468873094,0.025144777498362723,1.618181227791335,1.715413101164659
Cntnap_het,fore_hind_coupling,216,72,0.36740025521370706,0.008000014606069554,0.3520966534599707,0.3834373628672643
Cntnap_het,left_right_coupling,216,72,0.3505122746975203,0.007689118519053492,0.33656081195562276,0.3666229349259476
Cntnap_het,cross_gain,216,72,0.3765284236184606,0.007090316469269194,0.36360088432370685,0.3909300649217947
Cntnap_hom,diagonal_dominance,111,37,1.818979163004078,0.039391459507335976,1.7445540139494222,1.8963928381446256
Cntnap_hom,fore_hind_coupling,111,37,0.33232478943343324,0.011512593309920993,0.3104567656944061,0.3549213531488767
Cntnap_hom,left_right_coupling,111,37,0.31949628624264925,0.010931587058241782,0.29854637780909654,0.34082207018049604
Cntnap_hom,cross_gain,111,37,0.34857885273029643,0.010336683198943262,0.32880233429770994,0.3693349175247851
TSC_neg,diagonal_dominance,195,65,1.4747236763790408,0.026189169021989814,1.4219326481989834,1.5262187874509923
TSC_neg,fore_hind_coupling,195,65,0.4189339712826827,0.009311192495142215,0.401126139974855,0.43739278097605544
TSC_neg,left_right_coupling,195,65,0.40649362198184463,0.00929043193301358,0.38900460523958513,0.4243971993968762
TSC_neg,cross_gain,195,65,0.42295573319762836,0.00880327259363676,0.40607068883882314,0.44073542414462874
TSC_het,diagonal_dominance,189,63,1.468837327692877,0.027687327552366036,1.4144862758224823,1.5240205670553988
TSC_het,fore_hind_coupling,189,63,0.422575075878234,0.010388440006824082,0.40193607664148684,0.441586635815343
TSC_het,left_right_coupling,189,63,0.4080345699966684,0.01033530816160943,0.38695508912254134,0.42697027434516865
TSC_het,cross_gain,189,63,0.4259008345092997,0.009931964584311549,0.40552955102152133,0.4440757243529088
TSC_hom,diagonal_dominance,105,35,1.4090234294254878,0.03567611195090096,1.340546250910793,1.4811698600873138
TSC_hom,fore_hind_coupling,105,35,0.42732567666550897,0.01254081111406308,0.40233426683088697,0.45198245831353345
TSC_hom,left_right_coupling,105,35,0.40258052315689913,0.011540830720011388,0.38068250686384125,0.42631185884828854
TSC_hom,cross_gain,105,35,0.4236106690897546,0.011259959012930186,0.40198457393345105,0.44549039778406196
