group,subject,speed_bin,model_index,peak_log_gain,peak_frequency,mean_log_gain,band_3_7_log_gain
Cntnap_het,OFT-0366-00,slow,1,2.476758544553638,4.117977528089888,1.8045569874264342,1.9325635186975676
Cntnap_het,OFT-0366-00,fast,2,2.214353335885406,5.668539325842697,1.6286726315084807,1.8144427736847866
Cntnap_het,OFT-0366-00,medium,3,2.1960551275561726,4.634831460674158,1.6845803400404202,1.8102816922627838
Cntnap_het,OFT-0371-00,fast,4,2.264741874131636,5.151685393258427,1.7058568503701454,1.8984758413524652
Cntnap_het,OFT-0371-00,medium,5,2.2182982523428043,4.117977528089888,1.7931656898864579,1.9586628431778081
Cntnap_het,OFT-0371-00,slow,6,2.3695233581252384,3.2134831460674156,1.812611613794054,1.90256267900753
Cntnap_het,OFT-0376-00,fast,7,2.234573170539979,5.797752808988764,1.7349256799968975,1.9113238560804866
Cntnap_het,OFT-0376-00,slow,8,2.4896480999344073,3.601123595505618,1.8715723157766961,1.9719602592005856
Cntnap_het,OFT-0376-00,medium,9,2.394420263931295,3.9887640449438204,1.755265493081881,1.8929321828850862
Cntnap_het,OFT-0385-00,medium,10,2.4040433986420564,3.859550561797753,1.7561431334973328,1.888134165046462
Cntnap_het,OFT-0385-00,fast,11,2.0521524872619668,4.50561797752809,1.654749598288382,1.8787883731740207
Cntnap_het,OFT-0385-00,slow,12,2.4660712928843167,3.4719101123595504,1.812855035829227,1.9652524287404707
Cntnap_het,OFT-0391-00,slow,13,2.219283542614817,4.764044943820225,1.7371227900232924,1.8842246144772685
Cntnap_het,OFT-0391-00,fast,14,2.2396493240793696,5.797752808988764,1.6650701566003623,1.838318227950564
Cntnap_het,OFT-0391-00,medium,15,2.21041136953015,5.280898876404494,1.6706347154396182,1.863889970766127
Cntnap_het,OFT-0403-00,medium,16,2.045720819446277,5.797752808988764,1.6396784862452054,1.8085618049586385
Cntnap_het,OFT-0403-00,fast,17,2.238517611420832,5.797752808988764,1.6115399859818003,1.7461192306738231
Cntnap_het,OFT-0403-00,slow,18,2.1245984045442814,3.4719101123595504,1.77768764683589,1.9624468658143361
Cntnap_het,OFT-0407-00,fast,19,2.2572273280213695,5.53932584269663,1.6729701936037344,1.835788427874616
Cntnap_het,OFT-0407-00,medium,20,2.1605480031096,4.893258426966292,1.7216819932332,1.8624929057761777
Cntnap_het,OFT-0407-00,slow,21,2.3873781542645665,4.50561797752809,1.7907220080206896,1.9647596873402267
Cntnap_het,OFT-0419-00,fast,22,2.22054044840467,5.53932584269663,1.6831078745102805,1.8302638980469554
Cntnap_het,OFT-0419-00,slow,23,2.084698739509553,4.50561797752809,1.7701158579447045,1.9516780292612035
Cntnap_het,OFT-0419-00,medium,24,2.2639906644755574,5.280898876404494,1.715295934433328,1.8786365491575177
Cntnap_het,OFT-0420-00,medium,25,2.3582449181436456,4.893258426966292,1.7483973723586472,1.9117137054645497
Cntnap_het,OFT-0420-00,fast,26,2.446401575055687,5.410112359550562,1.6810346557892262,1.8692791139053375
Cntnap_het,OFT-0420-00,slow,27,2.1492934294814243,4.764044943820225,1.700552844192937,1.8569791995771616
Cntnap_het,OFT-0421-00,slow,28,2.304413944737056,5.022471910112359,1.7792700617639785,1.98248103717107
Cntnap_het,OFT-0421-00,fast,29,2.247062664311774,5.926966292134831,1.6373149530013007,1.7991193721753898
Cntnap_het,OFT-0421-00,medium,30,2.146747459659151,5.410112359550562,1.7518782253895868,1.944105175404762
Cntnap_het,OFT-0423-00,slow,31,2.422851017778297,5.022471910112359,1.801982278097319,1.9893971759981588
Cntnap_het,OFT-0423-00,fast,32,2.104044133858511,5.280898876404494,1.6391982576339965,1.8161672783059994
Cntnap_het,OFT-0423-00,medium,33,2.0688594062465757,4.634831460674158,1.6689298693582126,1.8202040305921343
Cntnap_het,OFT-0425-00,slow,34,2.2024051481569837,3.9887640449438204,1.7603320032997638,1.8855688815233203
Cntnap_het,OFT-0425-00,medium,35,2.36944110917309,4.893258426966292,1.712392060973243,1.8881122958428465
Cntnap_het,OFT-0425-00,fast,36,2.240474021826248,5.280898876404494,1.6730399597721153,1.8419031542395001
Cntnap_het,OFT-0428-00,slow,37,2.1905307601227495,5.022471910112359,1.74934910329539,1.9220463269890355
Cntnap_het,OFT-0428-00,medium,38,2.2263346396310912,5.926966292134831,1.6597646217177362,1.8210372334964409
Cntnap_het,OFT-0428-00,fast,39,2.3098591646857054,6.443820224719101,1.5680890533458982,1.7156135962946404
Cntnap_het,OFT-0430-00,fast,40,2.113777093369282,5.926966292134831,1.6002892927120909,1.6993903160069637
Cntnap_het,OFT-0430-00,medium,41,2.1347160174831608,5.410112359550562,1.7087964899764465,1.849482393211
Cntnap_het,OFT-0430-00,slow,42,2.3547139047362644,5.022471910112359,1.7230962019226994,1.8410792147071209
Cntnap_het,OFT-0431-00,medium,43,2.5253515338207704,4.50561797752809,1.7561194635807849,1.9565649737072661
Cntnap_het,OFT-0431-00,slow,44,2.5050170257581708,3.9887640449438204,1.7499347444518707,1.9540345255839693
Cntnap_het,OFT-0431-00,fast,45,2.2858482786962053,5.151685393258427,1.700187118993374,1.8743247984620204
Cntnap_het,OFT-0432-00,fast,46,2.221327851509269,5.410112359550562,1.6443953571699723,1.8702709184122335
Cntnap_het,OFT-0432-00,slow,47,2.311734994520823,4.376404494382022,1.7947988207108274,1.9851980883798743
Cntnap_het,OFT-0432-00,medium,48,2.1922020004806857,5.53932584269663,1.739184517117294,1.8908500034744602
Cntnap_het,OFT-0434-00,medium,49,2.1461771910739453,5.53932584269663,1.683803099327433,1.8474485144690986
Cntnap_het,OFT-0434-00,fast,50,2.2637603972453055,5.53932584269663,1.6434905274190734,1.7973889862239942
Cntnap_het,OFT-0434-00,slow,51,2.1991581028969724,3.859550561797753,1.7463426541655875,1.8793998686044606
Cntnap_het,OFT-0436-00,fast,52,2.1329564133003642,5.022471910112359,1.6680907766099993,1.8381534358845453
Cntnap_het,OFT-0436-00,slow,53,2.30887806896363,4.376404494382022,1.808299413151716,1.9307722667415748
Cntnap_het,OFT-0436-00,medium,54,2.250515009550592,4.893258426966292,1.703409636413528,1.857512766869646
Cntnap_het,OFT-0439-00,fast,55,2.373399978444402,5.022471910112359,1.7679149719030047,1.9403122708449165
Cntnap_het,OFT-0439-00,slow,56,2.895717288057131,3.730337078651685,1.9649054481165034,2.0652640919685417
Cntnap_het,OFT-0439-00,medium,57,2.412396058088461,5.022471910112359,1.8044890150739883,1.9252427383004977
Cntnap_het,OFT-0442-00,fast,58,2.399418195407859,5.926966292134831,1.6452313052974703,1.8056355622728704
Cntnap_het,OFT-0442-00,medium,59,2.3819508304576273,5.668539325842697,1.71871981909276,1.8876480602842785
Cntnap_het,OFT-0442-00,slow,60,2.602996222836974,5.022471910112359,1.7699004982063309,1.874369224537715
Cntnap_het,OFT-0443-00,fast,61,2.380084983618837,5.53932584269663,1.7236463457255442,1.9020593887323254
Cntnap_het,OFT-0443-00,slow,62,2.659460594181883,4.247191011235955,1.8954205275684024,2.110997341351793
Cntnap_het,OFT-0443-00,medium,63,2.5942846213362447,4.764044943820225,1.8298175831695849,1.9942571997269605
Cntnap_het,OFT-0444-00,fast,64,2.145561199141806,5.926966292134831,1.6468138647996555,1.809423485046971
Cntnap_het,OFT-0444-00,medium,65,2.3021930897635023,4.764044943820225,1.7708641323209686,1.953396832024823
Cntnap_het,OFT-0444-00,slow,66,2.453300767337565,4.376404494382022,1.84248092660169,2.00680360955853
Cntnap_het,OFT-0446-00,fast,67,2.278586677513858,5.280898876404494,1.6671058728534802,1.805928377359242
Cntnap_het,OFT-0446-00,medium,68,2.0853190056866535,5.53932584269663,1.6752686629375062,1.8387436624306899
Cntnap_het,OFT-0446-00,slow,69,2.1434598017008195,4.117977528089888,1.7301491607981465,1.8641625173048615
Cntnap_het,OFT-0447-00,fast,70,2.2809377209071555,5.022471910112359,1.7145177851663609,1.9225562287149833
