group,speed_bin,coordinate,forcing_mean,n_models
Cntnap_het,slow,LF radius,4824.925098390051,72
Cntnap_het,slow,LF angle,14.501066742530242,72
Cntnap_het,slow,RF radius,4881.550896475654,72
Cntnap_het,slow,RF angle,14.449875991970256,72
Cntnap_het,slow,RH radius,4413.208801517455,72
Cntnap_het,slow,RH angle,12.295077655335417,72
Cntnap_het,slow,LH radius,4590.671944066924,72
Cntnap_het,slow,LH angle,9.293286535217346,72
Cntnap_het,medium,LF radius,5064.56068589594,72
Cntnap_het,medium,LF angle,18.458278847714027,72
Cntnap_het,medium,RF radius,5390.180827775114,72
Cntnap_het,medium,RF angle,19.936878729866958,72
Cntnap_het,medium,RH radius,4653.625396097505,72
Cntnap_het,medium,RH angle,14.162594128924669,72
Cntnap_het,medium,LH radius,4897.3071324490775,72
Cntnap_het,medium,LH angle,14.213847181546221,72
Cntnap_het,fast,LF radius,6916.725936567928,72
Cntnap_het,fast,LF angle,26.609409143919578,72
Cntnap_het,fast,RF radius,7116.398363219701,72
Cntnap_het,fast,RF angle,29.882406260330338,72
Cntnap_het,fast,RH radius,6363.639502704851,72
Cntnap_het,fast,RH angle,24.442725935667674,72
Cntnap_het,fast,LH radius,6798.564179556093,72
Cntnap_het,fast,LH angle,20.524483705626224,72
Cntnap_hom,fast,LF radius,8437.97433993143,37
Cntnap_hom,fast,LF angle,41.95795380054049,37
Cntnap_hom,fast,RF radius,9136.034914184484,37
Cntnap_hom,fast,RF angle,33.35348578161668,37
Cntnap_hom,fast,RH radius,7922.91833133795,37
Cntnap_hom,fast,RH angle,51.520310079735005,37
Cntnap_hom,fast,LH radius,8431.254600984608,37
Cntnap_hom,fast,LH angle,29.576812386541718,37
Cntnap_hom,medium,LF radius,25310.955528901028,37
Cntnap_hom,medium,LF angle,94.67187415241212,37
Cntnap_hom,medium,RF radius,28143.72573179301,37
Cntnap_hom,medium,RF angle,44.394192375887556,37
Cntnap_hom,medium,RH radius,21320.105018875136,37
Cntnap_hom,medium,RH angle,93.66075682079695,37
Cntnap_hom,medium,LH radius,29426.26204419017,37
Cntnap_hom,medium,LH angle,45.30655828073979,37
Cntnap_hom,slow,LF radius,4559.976318696637,37
Cntnap_hom,slow,LF angle,37.47144316119943,37
Cntnap_hom,slow,RF radius,5035.212548862539,37
Cntnap_hom,slow,RF angle,16.377154051485775,37
Cntnap_hom,slow,RH radius,3970.2644311698537,37
Cntnap_hom,slow,RH angle,24.190507655330393,37
Cntnap_hom,slow,LH radius,4217.98945543115,37
Cntnap_hom,slow,LH angle,16.194119388574236,37
Cntnap_neg,slow,LF radius,6476.582174057976,56
Cntnap_neg,slow,LF angle,26.186814434596094,56
Cntnap_neg,slow,RF radius,6074.656991428235,56
Cntnap_neg,slow,RF angle,29.662669513114572,56
Cntnap_neg,slow,RH radius,5657.344868956027,56
Cntnap_neg,slow,RH angle,27.670024050611005,56
Cntnap_neg,slow,LH radius,5595.102401937206,56
Cntnap_neg,slow,LH angle,13.357132978403587,56
Cntnap_neg,medium,LF radius,5252.0455272856925,56
Cntnap_neg,medium,LF angle,18.679541223223968,56
Cntnap_neg,medium,RF radius,5055.451347456299,56
Cntnap_neg,medium,RF angle,22.18312929727127,56
Cntnap_neg,medium,RH radius,4851.15922634737,56
Cntnap_neg,medium,RH angle,15.81104906861639,56
Cntnap_neg,medium,LH radius,4789.222596107097,56
Cntnap_neg,medium,LH angle,14.043147684649528,56
Cntnap_neg,fast,LF radius,5565.2328957910895,57
Cntnap_neg,fast,LF angle,23.554567551062988,57
Cntnap_neg,fast,RF radius,5541.385735301877,57
Cntnap_neg,fast,RF angle,27.027243807042908,57
Cntnap_neg,fast,RH radius,5395.007325200341,57
Cntnap_neg,fast,RH angle,22.9394580811076,57
Cntnap_neg,fast,LH radius,5367.40990800768,57
Cntnap_neg,fast,LH angle,19.25357215910569,57
TSC_het,slow,LF radius,6665.442926515717,61
TSC_het,slow,LF angle,16.514641696649466,61
TSC_het,slow,RF radius,7139.97459993185,61
TSC_het,slow,RF angle,18.17484457357152,61
TSC_het,slow,RH radius,6636.085432335578,61
TSC_het,slow,RH angle,10.35487298738171,61
TSC_het,slow,LH radius,6753.485338142971,61
TSC_het,slow,LH angle,10.816187628336749,61
TSC_het,fast,LF radius,14397.73574779134,62
TSC_het,fast,LF angle,32.05966445202584,62
TSC_het,fast,RF radius,11890.021405304162,62
TSC_het,fast,RF angle,28.721540746151586,62
TSC_het,fast,RH radius,11625.60560641956,62
TSC_het,fast,RH angle,27.062368993014108,62
TSC_het,fast,LH radius,10311.699412554974,62
TSC_het,fast,LH angle,22.888087905186378,62
TSC_het,medium,LF radius,9779.070156547488,62
TSC_het,medium,LF angle,18.741903891282824,62
TSC_het,medium,RF radius,9963.87757389248,62
TSC_het,medium,RF angle,25.65227431141445,62
TSC_het,medium,RH radius,9256.0300136992,62
TSC_het,medium,RH angle,28.93164730824513,62
TSC_het,medium,LH radius,8561.618309028425,62
TSC_het,medium,LH angle,26.51382984979417,62
TSC_hom,medium,LF radius,5583.07546422771,35
TSC_hom,medium,LF angle,5.987052245204438,35
TSC_hom,medium,RF radius,4807.223985056958,35
TSC_hom,medium,RF angle,7.525219078405959,35
TSC_hom,medium,RH radius,4634.3202759606065,35
TSC_hom,medium,RH angle,4.618132999616401,35
TSC_hom,medium,LH radius,4266.351171683257,35
TSC_hom,medium,LH angle,4.905185249801219,35
TSC_hom,fast,LF radius,9237.405699136762,35
TSC_hom,fast,LF angle,11.387386196982384,35
TSC_hom,fast,RF radius,6992.829432707269,35
TSC_hom,fast,RF angle,12.337141762680918,35
TSC_hom,fast,RH radius,6900.544127247664,35
TSC_hom,fast,RH angle,8.040892170956257,35
TSC_hom,fast,LH radius,6885.322719337966,35
TSC_hom,fast,LH angle,9.055075823474708,35
TSC_hom,slow,LF radius,3428.475956472042,35
TSC_hom,slow,LF angle,4.245565183111866,35
TSC_hom,slow,RF radius,3239.302760404866,35
TSC_hom,slow,RF angle,3.1115242510077725,35
TSC_hom,slow,RH radius,2616.842080861018,35
TSC_hom,slow,RH angle,2.7583471396747803,35
TSC_hom,slow,LH radius,2792.0106397461277,35
TSC_hom,slow,LH angle,2.654714522887195,35
TSC_neg,fast,LF radius,6917.3527728285735,65
TSC_neg,fast,LF angle,24.948818418180686,65
TSC_neg,fast,RF radius,6537.741660355217,65
TSC_neg,fast,RF angle,26.504455413431103,65
TSC_neg,fast,RH radius,5620.5609110698,65
TSC_neg,fast,RH angle,16.904281108411823,65
TSC_neg,fast,LH radius,5846.3970114319945,65
TSC_neg,fast,LH angle,19.049854434431687,65
TSC_neg,slow,LF radius,10300.131690620574,65
TSC_neg,slow,LF angle,53.48333687037217,65
TSC_neg,slow,RF radius,9238.045803854206,65
TSC_neg,slow,RF angle,21.845990095362936,65
TSC_neg,slow,RH radius,7848.617635119449,65
TSC_neg,slow,RH angle,12.738320651426124,65
TSC_neg,slow,LH radius,8111.134142317741,65
TSC_neg,slow,LH angle,15.387785486901269,65
TSC_neg,medium,LF radius,5511.387858750649,65
TSC_neg,medium,LF angle,18.87522362018244,65
TSC_neg,medium,RF radius,5376.107486719606,65
TSC_neg,medium,RF angle,15.85477565672056,65
TSC_neg,medium,RH radius,4638.872476861068,65
TSC_neg,medium,RH angle,13.67974963632682,65
TSC_neg,medium,LH radius,4740.743089794137,65
TSC_neg,medium,LH angle,11.787490095769108,65
new_preds,fast,LF radius,7034.205454949322,374
new_preds,fast,LF angle,44.0502475099356,374
new_preds,fast,RF radius,6805.341503870077,374
new_preds,fast,RF angle,39.8145135744874,374
new_preds,fast,RH radius,6041.374107250592,374
new_preds,fast,RH angle,31.95306398005092,374
