group,speed_bin,metric,n_models,n_subjects,mean,sem
Cntnap_het,slow,same_mean_gain,72,72,0.054348843749769636,0.0012794874159484323
Cntnap_het,slow,same_peak_gain,72,72,0.10880877021462065,0.0023507348814706167
Cntnap_het,slow,same_peak_lag_fraction,72,72,0.0036111111111111144,0.0018900277336435913
Cntnap_het,slow,same_phase_selectivity,72,72,0.12637653640433874,0.001609784409036523
Cntnap_het,slow,fore_homologs_mean_gain,72,72,0.05549601529548418,0.0012640905148788048
Cntnap_het,slow,fore_homologs_peak_gain,72,72,0.11436784664960054,0.0020263591040261997
Cntnap_het,slow,fore_homologs_peak_lag_fraction,72,72,0.00805555555555556,0.00142137286355452
Cntnap_het,slow,fore_homologs_phase_selectivity,72,72,0.11729335480579163,0.0026023048087281887
Cntnap_het,slow,hind_homologs_mean_gain,72,72,0.05028692066256665,0.0013969882295695834
Cntnap_het,slow,hind_homologs_peak_gain,72,72,0.102076518135715,0.002964663325116998
Cntnap_het,slow,hind_homologs_peak_lag_fraction,72,72,-0.015416666666666681,0.0023230617309806475
Cntnap_het,slow,hind_homologs_phase_selectivity,72,72,0.14801104997131403,0.0030530005221740147
Cntnap_het,slow,ipsilateral_mean_gain,72,72,0.053045055716845,0.0012228474681427988
Cntnap_het,slow,ipsilateral_peak_gain,72,72,0.1006209324022825,0.002041794096690765
Cntnap_het,slow,ipsilateral_peak_lag_fraction,72,72,-0.0012500000000000011,0.002280569589506571
Cntnap_het,slow,ipsilateral_phase_selectivity,72,72,0.13086483134328278,0.0014386495612535226
Cntnap_het,slow,diagonal_mean_gain,72,72,0.05285286952674356,0.0012763812362805453
Cntnap_het,slow,diagonal_peak_gain,72,72,0.0995663022123465,0.002151515751115442
Cntnap_het,slow,diagonal_peak_lag_fraction,72,72,-0.0025000000000000022,0.0023298935074094165
Cntnap_het,slow,diagonal_phase_selectivity,72,72,0.13179864734276905,0.0013902254489626205
Cntnap_het,slow,all_cross_mean_gain,72,72,0.05292979774087133,0.0012364429104728346
Cntnap_het,slow,all_cross_peak_gain,72,72,0.0995729326476221,0.0020727041358094226
Cntnap_het,slow,all_cross_peak_lag_fraction,72,72,0.0,0.0022202651789344314
Cntnap_het,slow,all_cross_phase_selectivity,72,72,0.13107905305406742,0.001282591642650945
Cntnap_het,slow,self_to_cross_ratio,72,72,1.0270486417873563,0.003136507690466297
Cntnap_het,medium,same_mean_gain,72,72,0.05858549861313757,0.0016432816215010589
Cntnap_het,medium,same_peak_gain,72,72,0.1145650886666713,0.0025552860936291725
