group,speed_bin,n_models,n_subjects,n_bouts,mean_speed_mean,mean_speed_sem,mean_speed_median,henrici_mean,henrici_sem,henrici_median,log_tgmax_mean,log_tgmax_sem,log_tgmax_median,participation_ratio_mean,participation_ratio_sem,participation_ratio_median,rank_mean,rank_sem,rank_median,stride_frequency_mean,stride_frequency_sem,stride_frequency_median,resolvent_peak_gain_mean,resolvent_peak_gain_sem,resolvent_peak_gain_median,qfactor_median_mean,qfactor_median_sem,qfactor_median_median,harmonic_entropy_mean,harmonic_entropy_sem,harmonic_entropy_median,h1_concentration_mean,h1_concentration_sem,h1_concentration_median,spectral_decay_rate_mean,spectral_decay_rate_sem,spectral_decay_rate_median,io_gain_max_mean,io_gain_max_sem,io_gain_max_median
Cntnap_het,slow,72,72,4890,3.7193702631830163,0.03103255219337149,3.7173921472062443,0.08502001895863447,0.0010616817537386256,0.08552681996652364,1.179109323687712,0.007865496385566339,1.1761979774264157,2.8099344112671627,0.020243368479394473,2.808491195893634,40.0,0.0,40.0,1.0,0.0,1.0,20714.84956114935,3487.89324937461,12085.990366084161,7.947615887773602,1.0341133405738496,6.479883585087402,0.5695632662628074,0.021417209694181153,0.5976071663036893,70.52269766528691,11.655477767867268,47.2188173598555,-1.3949329737786291,0.02279912026808995,-1.3936443501508027,6138.429151886874,1132.063247503181,3549.6647576248843
Cntnap_het,medium,72,72,4866,4.729517006797274,0.05019049368561964,4.7881923752095545,0.08506276443680602,0.0008986338302691473,0.08441823580330667,1.2548223660404094,0.0075507008503044185,1.2573059308017647,2.620762513945566,0.0131131195072237,2.6060919684806096,40.0,0.0,40.0,0.9965277777777778,0.003472222222222223,1.0,21300.832243394976,1582.9097276945001,17525.975835843565,7.204278366649697,0.7461365586754539,6.48106769337052,0.4531107497088091,0.020250337298049655,0.4189522929900431,103.37137979507573,8.9587916416839,84.61994242647579,-1.4606903876127768,0.020613837944205567,-1.480085043692717,6343.899935260276,479.8503108313625,4854.534730578818
Cntnap_het,fast,72,72,4916,6.015922844989807,0.06570784572730068,6.015023424180251,0.08484285986198388,0.0016838894513160692,0.08241499642194489,1.2640025851901644,0.007773690333339118,1.2771523857470406,2.4640639809781666,0.009535246558379161,2.4610382101270076,40.0,0.0,40.0,0.9930555555555556,0.0048757603993014546,1.0,30685.790496260608,2366.0564524400397,24208.925067114826,7.097326067458636,0.7869607597576027,6.14643238697065,0.3564209062385724,0.021981623324085906,0.3246149508924105,173.01586889945546,14.673948884981938,133.2309422945939,-1.5726611358680982,0.02475629748045319,-1.5989369535849707,8239.39308212768,611.7507205594934,6923.818328072486
Cntnap_hom,fast,37,37,2629,6.270025335438859,0.09405854065740205,6.133395464553009,0.08203994334769343,0.0014024015175680192,0.08107858698497568,1.2650233270328604,0.008810645332285866,1.2669482619031165,2.4960360369493455,0.013921113429539481,2.490749166535861,40.0,0.0,40.0,0.9594594594594594,0.01535831272183092,1.0,47319.32823425916,6245.927015211827,34150.78277662281,3.738769853810708,0.7153556041637996,0.9682299546142201,0.40748081177305695,0.064174641916274,0.2707213356840874,215.7213818526676,30.461368255211895,191.91789202609792,-1.4629176296526,0.06268532739462314,-1.5831186932151875,10557.697013369429,1520.8989994728079,8324.565836968864
Cntnap_hom,medium,37,37,2604,4.9209479275040335,0.0744513047741498,4.808058734688962,0.08200013109798743,0.0016350089282364828,0.08126957833715687,1.2424767673596282,0.013055664839327625,1.2395757326069488,2.6700438216473277,0.020135247065377896,2.6658876368371147,40.0,0.0,40.0,0.9932432432432432,0.006756756756756756,1.0,108440.88451339326,73037.42072388464,21510.209557413033,6.778838031913218,1.206202042354366,4.7904191616766365,0.3565281404177948,0.03226631018439515,0.3392982187218353,888.3502138226821,703.333255935956,124.38727607835061,-1.5273922245713722,0.041641606705463664,-1.5337280755213845,32444.831814040816,22140.361585038896,5839.523545302179
Cntnap_hom,slow,37,37,2617,3.8328236459292544,0.0495406141665976,3.773321745320283,0.08433465358382103,0.0015368993775173314,0.08502817743968517,1.2140102055219895,0.009459798088036703,1.21964499252814,2.89014490428934,0.03246220297201692,2.873465385660278,40.0,0.0,40.0,1.0,0.0,1.0,19460.047366391755,1867.4368395982378,17446.605244305112,7.565414681156961,0.8446570064898642,8.138351983723451,0.4993889098191115,0.0301580583818087,0.4497086119042098,86.05256737871771,7.691625316501463,79.32750497679619,-1.4989471190288624,0.022831718836409772,-1.5058554778696371,5734.4757076980295,528.2075328332396,5086.8720891427465
Cntnap_neg,slow,56,56,4485,3.799340584335043,0.028956210501201507,3.7945948871690067,0.08417914133280462,0.0010856698487802866,0.08417853802765138,1.2116007317638946,0.009360396331430841,1.2183764486067803,2.899234522425919,0.021682651703150004,2.908388458940382,40.0,0.0,40.0,1.0,0.0,1.0,29841.882128706497,7904.863340717073,14052.52365856689,6.993916694364158,1.1256958324957542,6.067816187524876,0.47758402818524576,0.024656975547643376,0.48075790064474416,114.90565746196076,37.51286212024747,60.98277638692613,-1.4593768021750073,0.026625799924082556,-1.4313600935767015,7906.938778070661,1834.6490874480567,4350.155922880329
Cntnap_neg,medium,56,56,4464,4.7977768992717555,0.04410671944322024,4.839648819344654,0.08437207142980616,0.001029969693350424,0.08457848772340018,1.2530891013947725,0.008231516632752942,1.255543084455216,2.6568813738213692,0.015706646612221827,2.6635878509381374,40.0,0.0,40.0,0.9955357142857143,0.004464285714285717,1.0,21180.973820276104,1433.6245268062742,18319.90999400272,4.748431705833501,0.5973513803459588,3.6065473424020738,0.3902552867832603,0.02108426416821862,0.3707335864084422,130.2498229016939,14.371101758542686,95.31951076347133,-1.5010587646665958,0.024598945651455203,-1.4832340280920246,6393.484472236331,507.3823711546908,5466.006463055415
Cntnap_neg,fast,57,57,4514,6.04099105746616,0.06341957566373094,6.10260678836775,0.08339082905053746,0.0019347254583285455,0.08050295725388024,1.2808605513339817,0.0084036351438557,1.2746928812136964,2.500615332427744,0.01022082176475082,2.4961849254659105,40.0,0.0,40.0,0.9649122807017544,0.011604172416949955,1.0,27694.43575557374,2331.1487855672694,21172.557940932693,4.679912580156567,0.6480960459836372,0.9779951100244489,0.44928174679785876,0.04566747274504987,0.31483489555555444,145.00752301491053,14.403198759806731,120.06687121293125,-1.4519046624034984,0.0476876585313243,-1.5223126686596806,6582.4076842817485,645.2121174687381,5974.708240389659
TSC_het,slow,61,61,3085,3.366070245775491,0.033423933834856076,3.3776151814980393,0.08634200682554742,0.002047685032605663,0.08530994416103611,1.0647798460400169,0.01996077132557081,1.1094285572924414,2.746136740459556,0.026706500982825218,2.707495734919882,40.0,0.0,40.0,1.0,0.0,1.0,29894.806217874706,7653.825552260901,12170.239386649739,9.74379889226262,0.8651262738490443,8.997188378631664,0.634943594861091,0.04064127243314725,0.6636664838960357,74.07190859440368,17.646034964930802,27.500531438137347,-1.260426469936864,0.04364426675810631,-1.2936801634620798,8928.848534383122,2486.5651101049093,4062.951415812397
